# num high symmetry points
16
# label high symmetry points
G X S Y G Z U R T Z Y T U X S R 
# indices high symmetry points
1 27 40 66 79 91 117 130 156 169 170 182 183 195 196 208 
# nk, nb, ns
208 36 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +1.9230769e-02 +0.0000000e+00 
+0.0000000e+00 +3.8461538e-02 +0.0000000e+00 
+0.0000000e+00 +5.7692308e-02 +0.0000000e+00 
+0.0000000e+00 +7.6923077e-02 +0.0000000e+00 
+0.0000000e+00 +9.6153846e-02 +0.0000000e+00 
+0.0000000e+00 +1.1538462e-01 +0.0000000e+00 
+0.0000000e+00 +1.3461538e-01 +0.0000000e+00 
+0.0000000e+00 +1.5384615e-01 +0.0000000e+00 
+0.0000000e+00 +1.7307692e-01 +0.0000000e+00 
+0.0000000e+00 +1.9230769e-01 +0.0000000e+00 
+0.0000000e+00 +2.1153846e-01 +0.0000000e+00 
+0.0000000e+00 +2.3076923e-01 +0.0000000e+00 
+0.0000000e+00 +2.5000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.6923077e-01 +0.0000000e+00 
+0.0000000e+00 +2.8846154e-01 +0.0000000e+00 
+0.0000000e+00 +3.0769231e-01 +0.0000000e+00 
+0.0000000e+00 +3.2692308e-01 +0.0000000e+00 
+0.0000000e+00 +3.4615385e-01 +0.0000000e+00 
+0.0000000e+00 +3.6538462e-01 +0.0000000e+00 
+0.0000000e+00 +3.8461538e-01 +0.0000000e+00 
+0.0000000e+00 +4.0384615e-01 +0.0000000e+00 
+0.0000000e+00 +4.2307692e-01 +0.0000000e+00 
+0.0000000e+00 +4.4230769e-01 +0.0000000e+00 
+0.0000000e+00 +4.6153846e-01 +0.0000000e+00 
+0.0000000e+00 +4.8076923e-01 +0.0000000e+00 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
+3.8461538e-02 +5.0000000e-01 +0.0000000e+00 
+7.6923077e-02 +5.0000000e-01 +0.0000000e+00 
+1.1538462e-01 +5.0000000e-01 +0.0000000e+00 
+1.5384615e-01 +5.0000000e-01 +0.0000000e+00 
+1.9230769e-01 +5.0000000e-01 +0.0000000e+00 
+2.3076923e-01 +5.0000000e-01 +0.0000000e+00 
+2.6923077e-01 +5.0000000e-01 +0.0000000e+00 
+3.0769231e-01 +5.0000000e-01 +0.0000000e+00 
+3.4615385e-01 +5.0000000e-01 +0.0000000e+00 
+3.8461538e-01 +5.0000000e-01 +0.0000000e+00 
+4.2307692e-01 +5.0000000e-01 +0.0000000e+00 
+4.6153846e-01 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +4.8076923e-01 +0.0000000e+00 
+5.0000000e-01 +4.6153846e-01 +0.0000000e+00 
+5.0000000e-01 +4.4230769e-01 +0.0000000e+00 
+5.0000000e-01 +4.2307692e-01 +0.0000000e+00 
+5.0000000e-01 +4.0384615e-01 +0.0000000e+00 
+5.0000000e-01 +3.8461538e-01 +0.0000000e+00 
+5.0000000e-01 +3.6538462e-01 +0.0000000e+00 
+5.0000000e-01 +3.4615385e-01 +0.0000000e+00 
+5.0000000e-01 +3.2692308e-01 +0.0000000e+00 
+5.0000000e-01 +3.0769231e-01 +0.0000000e+00 
+5.0000000e-01 +2.8846154e-01 +0.0000000e+00 
+5.0000000e-01 +2.6923077e-01 +0.0000000e+00 
+5.0000000e-01 +2.5000000e-01 +0.0000000e+00 
+5.0000000e-01 +2.3076923e-01 +0.0000000e+00 
+5.0000000e-01 +2.1153846e-01 +0.0000000e+00 
+5.0000000e-01 +1.9230769e-01 +0.0000000e+00 
+5.0000000e-01 +1.7307692e-01 +0.0000000e+00 
+5.0000000e-01 +1.5384615e-01 +0.0000000e+00 
+5.0000000e-01 +1.3461538e-01 +0.0000000e+00 
+5.0000000e-01 +1.1538462e-01 +0.0000000e+00 
+5.0000000e-01 +9.6153846e-02 +0.0000000e+00 
+5.0000000e-01 +7.6923077e-02 +0.0000000e+00 
+5.0000000e-01 +5.7692308e-02 +0.0000000e+00 
+5.0000000e-01 +3.8461538e-02 +0.0000000e+00 
+5.0000000e-01 +1.9230769e-02 +0.0000000e+00 
+5.0000000e-01 +0.0000000e+00 +0.0000000e+00 
+4.6153846e-01 +0.0000000e+00 +0.0000000e+00 
+4.2307692e-01 +0.0000000e+00 +0.0000000e+00 
+3.8461538e-01 +0.0000000e+00 +0.0000000e+00 
+3.4615385e-01 +0.0000000e+00 +0.0000000e+00 
+3.0769231e-01 +0.0000000e+00 +0.0000000e+00 
+2.6923077e-01 +0.0000000e+00 +0.0000000e+00 
+2.3076923e-01 +0.0000000e+00 +0.0000000e+00 
+1.9230769e-01 +0.0000000e+00 +0.0000000e+00 
+1.5384615e-01 +0.0000000e+00 +0.0000000e+00 
+1.1538462e-01 +0.0000000e+00 +0.0000000e+00 
+7.6923077e-02 +0.0000000e+00 +0.0000000e+00 
+3.8461538e-02 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 -4.1666667e-02 
+0.0000000e+00 +0.0000000e+00 -8.3333333e-02 
+0.0000000e+00 +0.0000000e+00 -1.2500000e-01 
+0.0000000e+00 +0.0000000e+00 -1.6666667e-01 
+0.0000000e+00 +0.0000000e+00 -2.0833333e-01 
+0.0000000e+00 +0.0000000e+00 -2.5000000e-01 
+0.0000000e+00 +0.0000000e+00 -2.9166667e-01 
+0.0000000e+00 +0.0000000e+00 -3.3333333e-01 
+0.0000000e+00 +0.0000000e+00 -3.7500000e-01 
+0.0000000e+00 +0.0000000e+00 -4.1666667e-01 
+0.0000000e+00 +0.0000000e+00 -4.5833333e-01 
+0.0000000e+00 +0.0000000e+00 -5.0000000e-01 
+0.0000000e+00 +1.9230769e-02 -5.0000000e-01 
+0.0000000e+00 +3.8461538e-02 -5.0000000e-01 
+0.0000000e+00 +5.7692308e-02 -5.0000000e-01 
+0.0000000e+00 +7.6923077e-02 -5.0000000e-01 
+0.0000000e+00 +9.6153846e-02 -5.0000000e-01 
+0.0000000e+00 +1.1538462e-01 -5.0000000e-01 
+0.0000000e+00 +1.3461538e-01 -5.0000000e-01 
+0.0000000e+00 +1.5384615e-01 -5.0000000e-01 
+0.0000000e+00 +1.7307692e-01 -5.0000000e-01 
+0.0000000e+00 +1.9230769e-01 -5.0000000e-01 
+0.0000000e+00 +2.1153846e-01 -5.0000000e-01 
+0.0000000e+00 +2.3076923e-01 -5.0000000e-01 
+0.0000000e+00 +2.5000000e-01 -5.0000000e-01 
+0.0000000e+00 +2.6923077e-01 -5.0000000e-01 
+0.0000000e+00 +2.8846154e-01 -5.0000000e-01 
+0.0000000e+00 +3.0769231e-01 -5.0000000e-01 
+0.0000000e+00 +3.2692308e-01 -5.0000000e-01 
+0.0000000e+00 +3.4615385e-01 -5.0000000e-01 
+0.0000000e+00 +3.6538462e-01 -5.0000000e-01 
+0.0000000e+00 +3.8461538e-01 -5.0000000e-01 
+0.0000000e+00 +4.0384615e-01 -5.0000000e-01 
+0.0000000e+00 +4.2307692e-01 -5.0000000e-01 
+0.0000000e+00 +4.4230769e-01 -5.0000000e-01 
+0.0000000e+00 +4.6153846e-01 -5.0000000e-01 
+0.0000000e+00 +4.8076923e-01 -5.0000000e-01 
+0.0000000e+00 +5.0000000e-01 -5.0000000e-01 
+3.8461538e-02 +5.0000000e-01 -5.0000000e-01 
+7.6923077e-02 +5.0000000e-01 -5.0000000e-01 
+1.1538462e-01 +5.0000000e-01 -5.0000000e-01 
+1.5384615e-01 +5.0000000e-01 -5.0000000e-01 
+1.9230769e-01 +5.0000000e-01 -5.0000000e-01 
+2.3076923e-01 +5.0000000e-01 -5.0000000e-01 
+2.6923077e-01 +5.0000000e-01 -5.0000000e-01 
+3.0769231e-01 +5.0000000e-01 -5.0000000e-01 
+3.4615385e-01 +5.0000000e-01 -5.0000000e-01 
+3.8461538e-01 +5.0000000e-01 -5.0000000e-01 
+4.2307692e-01 +5.0000000e-01 -5.0000000e-01 
+4.6153846e-01 +5.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +5.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +4.8076923e-01 -5.0000000e-01 
+5.0000000e-01 +4.6153846e-01 -5.0000000e-01 
+5.0000000e-01 +4.4230769e-01 -5.0000000e-01 
+5.0000000e-01 +4.2307692e-01 -5.0000000e-01 
+5.0000000e-01 +4.0384615e-01 -5.0000000e-01 
+5.0000000e-01 +3.8461538e-01 -5.0000000e-01 
+5.0000000e-01 +3.6538462e-01 -5.0000000e-01 
+5.0000000e-01 +3.4615385e-01 -5.0000000e-01 
+5.0000000e-01 +3.2692308e-01 -5.0000000e-01 
+5.0000000e-01 +3.0769231e-01 -5.0000000e-01 
+5.0000000e-01 +2.8846154e-01 -5.0000000e-01 
+5.0000000e-01 +2.6923077e-01 -5.0000000e-01 
+5.0000000e-01 +2.5000000e-01 -5.0000000e-01 
+5.0000000e-01 +2.3076923e-01 -5.0000000e-01 
+5.0000000e-01 +2.1153846e-01 -5.0000000e-01 
+5.0000000e-01 +1.9230769e-01 -5.0000000e-01 
+5.0000000e-01 +1.7307692e-01 -5.0000000e-01 
+5.0000000e-01 +1.5384615e-01 -5.0000000e-01 
+5.0000000e-01 +1.3461538e-01 -5.0000000e-01 
+5.0000000e-01 +1.1538462e-01 -5.0000000e-01 
+5.0000000e-01 +9.6153846e-02 -5.0000000e-01 
+5.0000000e-01 +7.6923077e-02 -5.0000000e-01 
+5.0000000e-01 +5.7692308e-02 -5.0000000e-01 
+5.0000000e-01 +3.8461538e-02 -5.0000000e-01 
+5.0000000e-01 +1.9230769e-02 -5.0000000e-01 
+5.0000000e-01 +0.0000000e+00 -5.0000000e-01 
+4.6153846e-01 +0.0000000e+00 -5.0000000e-01 
+4.2307692e-01 +0.0000000e+00 -5.0000000e-01 
+3.8461538e-01 +0.0000000e+00 -5.0000000e-01 
+3.4615385e-01 +0.0000000e+00 -5.0000000e-01 
+3.0769231e-01 +0.0000000e+00 -5.0000000e-01 
+2.6923077e-01 +0.0000000e+00 -5.0000000e-01 
+2.3076923e-01 +0.0000000e+00 -5.0000000e-01 
+1.9230769e-01 +0.0000000e+00 -5.0000000e-01 
+1.5384615e-01 +0.0000000e+00 -5.0000000e-01 
+1.1538462e-01 +0.0000000e+00 -5.0000000e-01 
+7.6923077e-02 +0.0000000e+00 -5.0000000e-01 
+3.8461538e-02 +0.0000000e+00 -5.0000000e-01 
+0.0000000e+00 +0.0000000e+00 -5.0000000e-01 
+5.0000000e-01 +0.0000000e+00 +0.0000000e+00 
+5.0000000e-01 +0.0000000e+00 -4.1666667e-02 
+5.0000000e-01 +0.0000000e+00 -8.3333333e-02 
+5.0000000e-01 +0.0000000e+00 -1.2500000e-01 
+5.0000000e-01 +0.0000000e+00 -1.6666667e-01 
+5.0000000e-01 +0.0000000e+00 -2.0833333e-01 
+5.0000000e-01 +0.0000000e+00 -2.5000000e-01 
+5.0000000e-01 +0.0000000e+00 -2.9166667e-01 
+5.0000000e-01 +0.0000000e+00 -3.3333333e-01 
+5.0000000e-01 +0.0000000e+00 -3.7500000e-01 
+5.0000000e-01 +0.0000000e+00 -4.1666667e-01 
+5.0000000e-01 +0.0000000e+00 -4.5833333e-01 
+5.0000000e-01 +0.0000000e+00 -5.0000000e-01 
+0.0000000e+00 +5.0000000e-01 -5.0000000e-01 
+0.0000000e+00 +5.0000000e-01 -4.5833333e-01 
+0.0000000e+00 +5.0000000e-01 -4.1666667e-01 
+0.0000000e+00 +5.0000000e-01 -3.7500000e-01 
+0.0000000e+00 +5.0000000e-01 -3.3333333e-01 
+0.0000000e+00 +5.0000000e-01 -2.9166667e-01 
+0.0000000e+00 +5.0000000e-01 -2.5000000e-01 
+0.0000000e+00 +5.0000000e-01 -2.0833333e-01 
+0.0000000e+00 +5.0000000e-01 -1.6666667e-01 
+0.0000000e+00 +5.0000000e-01 -1.2500000e-01 
+0.0000000e+00 +5.0000000e-01 -8.3333333e-02 
+0.0000000e+00 +5.0000000e-01 -4.1666667e-02 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +5.0000000e-01 -4.1666667e-02 
+5.0000000e-01 +5.0000000e-01 -8.3333333e-02 
+5.0000000e-01 +5.0000000e-01 -1.2500000e-01 
+5.0000000e-01 +5.0000000e-01 -1.6666667e-01 
+5.0000000e-01 +5.0000000e-01 -2.0833333e-01 
+5.0000000e-01 +5.0000000e-01 -2.5000000e-01 
+5.0000000e-01 +5.0000000e-01 -2.9166667e-01 
+5.0000000e-01 +5.0000000e-01 -3.3333333e-01 
+5.0000000e-01 +5.0000000e-01 -3.7500000e-01 
+5.0000000e-01 +5.0000000e-01 -4.1666667e-01 
+5.0000000e-01 +5.0000000e-01 -4.5833333e-01 
+5.0000000e-01 +5.0000000e-01 -5.0000000e-01 
# energies (kpt,band,spin)
# spin = 1
-1.6378442e+01 -1.6338754e+01 -1.6007540e+01 -1.5979841e+01 -1.3981922e+01 -1.3933646e+01 -1.3139940e+01 -1.3127196e+01 -5.5950586e+00 -5.5079348e+00 -4.1951781e+00 -4.1739549e+00 -3.5363352e+00 -2.7926411e+00 -2.7774826e+00 -2.6815951e+00 -2.6642824e+00 -2.3474822e+00 -2.3373120e+00 -2.2170607e+00 -1.7036933e+00 -1.6193780e+00 -1.5811930e+00 -1.0141170e+00 -7.5255426e-01 -7.2401088e-01 -5.6022261e-01 -4.0107180e-01 +5.9312603e-01 +6.3951825e-01 +1.7469728e+00 +1.7797782e+00 +7.0008386e+00 +7.5286855e+00 +7.6630072e+00 +7.8614733e+00 
-1.6377771e+01 -1.6338110e+01 -1.6007404e+01 -1.5979740e+01 -1.3981223e+01 -1.3932987e+01 -1.3140782e+01 -1.3128111e+01 -5.5945695e+00 -5.5077978e+00 -4.1985003e+00 -4.1773945e+00 -3.5348715e+00 -2.7918564e+00 -2.7819610e+00 -2.6863430e+00 -2.6637456e+00 -2.3526203e+00 -2.3426866e+00 -2.2176235e+00 -1.7025215e+00 -1.6152642e+00 -1.5767930e+00 -1.0137591e+00 -7.5168496e-01 -7.2289108e-01 -5.6063801e-01 -4.0244380e-01 +5.9486218e-01 +6.4050118e-01 +1.7458012e+00 +1.7784745e+00 +7.0068824e+00 +7.5374020e+00 +7.6693650e+00 +7.8722563e+00 
-1.6375765e+01 -1.6336184e+01 -1.6007000e+01 -1.5979444e+01 -1.3979126e+01 -1.3931013e+01 -1.3143304e+01 -1.3130851e+01 -5.5931178e+00 -5.5073942e+00 -4.2084571e+00 -4.1876886e+00 -3.5304645e+00 -2.7949199e+00 -2.7895134e+00 -2.7000838e+00 -2.6621398e+00 -2.3677035e+00 -2.3584713e+00 -2.2193183e+00 -1.6990144e+00 -1.6034113e+00 -1.5641228e+00 -1.0126879e+00 -7.4955002e-01 -7.2006149e-01 -5.6188457e-01 -4.0655229e-01 +6.0029971e-01 +6.4375484e-01 +1.7423841e+00 +1.7746782e+00 +7.0249932e+00 +7.5634389e+00 +7.6886914e+00 +7.9040716e+00 
-1.6372443e+01 -1.6332989e+01 -1.6006346e+01 -1.5978973e+01 -1.3975636e+01 -1.3927732e+01 -1.3147493e+01 -1.3135403e+01 -5.5907477e+00 -5.5067451e+00 -4.2250124e+00 -4.2047591e+00 -3.5230778e+00 -2.8150511e+00 -2.7856451e+00 -2.7214453e+00 -2.6594803e+00 -2.3917974e+00 -2.3837083e+00 -2.2221650e+00 -1.6931954e+00 -1.5851665e+00 -1.5446356e+00 -1.0109101e+00 -7.4746865e-01 -7.1700727e-01 -5.6396335e-01 -4.1337467e-01 +6.1007910e-01 +6.5013909e-01 +1.7370068e+00 +1.7687219e+00 +7.0551003e+00 +7.6064714e+00 +7.7215518e+00 +7.9555182e+00 
-1.6367834e+01 -1.6328549e+01 -1.6005469e+01 -1.5978359e+01 -1.3970762e+01 -1.3923156e+01 -1.3153327e+01 -1.3141740e+01 -5.5875268e+00 -5.5058802e+00 -4.2480867e+00 -4.2284640e+00 -3.5126772e+00 -2.8405118e+00 -2.7803048e+00 -2.7485178e+00 -2.6557935e+00 -2.4235160e+00 -2.4169771e+00 -2.2261962e+00 -1.6851001e+00 -1.5624454e+00 -1.5203765e+00 -1.0084361e+00 -7.4733389e-01 -7.1587978e-01 -5.6687577e-01 -4.2287328e-01 +6.2511573e-01 +6.6090600e-01 +1.7301171e+00 +1.7611225e+00 +7.0970633e+00 +7.6659919e+00 +7.7684537e+00 +8.0247136e+00 
-1.6361975e+01 -1.6322897e+01 -1.6004408e+01 -1.5977646e+01 -1.3964516e+01 -1.3917304e+01 -1.3160776e+01 -1.3149829e+01 -5.5835386e+00 -5.5048316e+00 -4.2775328e+00 -4.2585824e+00 -3.4992529e+00 -2.8692674e+00 -2.7792221e+00 -2.7735635e+00 -2.6511192e+00 -2.4612140e+00 -2.4565895e+00 -2.2314575e+00 -1.6747727e+00 -1.5373976e+00 -1.4936125e+00 -1.0052798e+00 -7.5123676e-01 -7.1908619e-01 -5.7062324e-01 -4.3499535e-01 +6.4639152e-01 +6.7744178e-01 +1.7222872e+00 +1.7525314e+00 +7.1506550e+00 +7.7413438e+00 +7.8296040e+00 +8.1095563e+00 
-1.6354906e+01 -1.6316073e+01 -1.6003213e+01 -1.5976890e+01 -1.3956918e+01 -1.3910199e+01 -1.3169801e+01 -1.3159626e+01 -5.5788751e+00 -5.5036276e+00 -4.3131082e+00 -4.2947991e+00 -3.4828300e+00 -2.8993686e+00 -2.8115930e+00 -2.7655081e+00 -2.6455120e+00 -2.5031650e+00 -2.5007701e+00 -2.2380067e+00 -1.6622647e+00 -1.5121343e+00 -1.4665422e+00 -1.0014571e+00 -7.6107755e-01 -7.2884702e-01 -5.7520651e-01 -4.4967305e-01 +6.7471496e-01 +7.0095578e-01 +1.7141630e+00 +1.7436709e+00 +7.2155553e+00 +7.8317482e+00 +7.9048420e+00 +8.2078039e+00 
-1.6346674e+01 -1.6308125e+01 -1.6001943e+01 -1.5976155e+01 -1.3947991e+01 -1.3901867e+01 -1.3180356e+01 -1.3171077e+01 -5.5736307e+00 -5.5022870e+00 -4.3544530e+00 -4.3366925e+00 -3.4634696e+00 -2.9291251e+00 -2.8439436e+00 -2.7562383e+00 -2.6390434e+00 -2.5477906e+00 -2.5476976e+00 -2.2459131e+00 -1.6476336e+00 -1.4885499e+00 -1.4411155e+00 -9.9698491e-01 -7.7825356e-01 -7.4682221e-01 -5.8062497e-01 -4.6682367e-01 +7.1051188e-01 +7.3219493e-01 +1.7064082e+00 +1.7352677e+00 +7.2913556e+00 +7.9363235e+00 +7.9936567e+00 +8.3170498e+00 
-1.6337321e+01 -1.6299109e+01 -1.6000668e+01 -1.5975515e+01 -1.3937767e+01 -1.3892338e+01 -1.3192386e+01 -1.3184122e+01 -5.5678975e+00 -5.5008149e+00 -4.4010789e+00 -4.3837310e+00 -3.4412621e+00 -2.9571858e+00 -2.8749299e+00 -2.7458654e+00 -2.6318025e+00 -2.5960540e+00 -2.5932806e+00 -2.2552563e+00 -1.6309433e+00 -1.4682257e+00 -1.4189438e+00 -9.9188067e-01 -8.0348752e-01 -7.7389240e-01 -5.8687580e-01 -4.8634991e-01 +7.5370812e-01 +7.7127174e-01 +1.6996459e+00 +1.7279876e+00 +7.3775654e+00 +8.0541052e+00 +8.0952057e+00 +8.4346688e+00 
