# num high symmetry points
8
# label high symmetry points
G X M G R X M R 
# indices high symmetry points
1 28 55 94 142 181 182 209 
# nk, nb, ns
209 44 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +1.8518519e-02 +0.0000000e+00 
+0.0000000e+00 +3.7037037e-02 +0.0000000e+00 
+0.0000000e+00 +5.5555556e-02 +0.0000000e+00 
+0.0000000e+00 +7.4074074e-02 +0.0000000e+00 
+0.0000000e+00 +9.2592593e-02 +0.0000000e+00 
+0.0000000e+00 +1.1111111e-01 +0.0000000e+00 
+0.0000000e+00 +1.2962963e-01 +0.0000000e+00 
+0.0000000e+00 +1.4814815e-01 +0.0000000e+00 
+0.0000000e+00 +1.6666667e-01 +0.0000000e+00 
+0.0000000e+00 +1.8518519e-01 +0.0000000e+00 
+0.0000000e+00 +2.0370370e-01 +0.0000000e+00 
+0.0000000e+00 +2.2222222e-01 +0.0000000e+00 
+0.0000000e+00 +2.4074074e-01 +0.0000000e+00 
+0.0000000e+00 +2.5925926e-01 +0.0000000e+00 
+0.0000000e+00 +2.7777778e-01 +0.0000000e+00 
+0.0000000e+00 +2.9629630e-01 +0.0000000e+00 
+0.0000000e+00 +3.1481481e-01 +0.0000000e+00 
+0.0000000e+00 +3.3333333e-01 +0.0000000e+00 
+0.0000000e+00 +3.5185185e-01 +0.0000000e+00 
+0.0000000e+00 +3.7037037e-01 +0.0000000e+00 
+0.0000000e+00 +3.8888889e-01 +0.0000000e+00 
+0.0000000e+00 +4.0740741e-01 +0.0000000e+00 
+0.0000000e+00 +4.2592593e-01 +0.0000000e+00 
+0.0000000e+00 +4.4444444e-01 +0.0000000e+00 
+0.0000000e+00 +4.6296296e-01 +0.0000000e+00 
+0.0000000e+00 +4.8148148e-01 +0.0000000e+00 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
+1.8518519e-02 +5.0000000e-01 +0.0000000e+00 
