# num high symmetry points
10
# label high symmetry points
G P Z Q G F P1 Q1 L Z 
# indices high symmetry points
1 74 75 158 230 290 331 332 390 450 
# nk, nb, ns
450 11 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+6.6796587e-03 -7.0189715e-03 +6.6796587e-03 
+1.3359317e-02 -1.4037943e-02 +1.3359317e-02 
+2.0038976e-02 -2.1056914e-02 +2.0038976e-02 
+2.6718635e-02 -2.8075886e-02 +2.6718635e-02 
+3.3398293e-02 -3.5094857e-02 +3.3398293e-02 
+4.0077952e-02 -4.2113829e-02 +4.0077952e-02 
+4.6757611e-02 -4.9132800e-02 +4.6757611e-02 
+5.3437269e-02 -5.6151772e-02 +5.3437269e-02 
+6.0116928e-02 -6.3170743e-02 +6.0116928e-02 
+6.6796587e-02 -7.0189715e-02 +6.6796587e-02 
+7.3476245e-02 -7.7208686e-02 +7.3476245e-02 
+8.0155904e-02 -8.4227658e-02 +8.0155904e-02 
+8.6835562e-02 -9.1246629e-02 +8.6835562e-02 
+9.3515221e-02 -9.8265601e-02 +9.3515221e-02 
+1.0019488e-01 -1.0528457e-01 +1.0019488e-01 
+1.0687454e-01 -1.1230354e-01 +1.0687454e-01 
+1.1355420e-01 -1.1932252e-01 +1.1355420e-01 
+1.2023386e-01 -1.2634149e-01 +1.2023386e-01 
+1.2691351e-01 -1.3336046e-01 +1.2691351e-01 
+1.3359317e-01 -1.4037943e-01 +1.3359317e-01 
+1.4027283e-01 -1.4739840e-01 +1.4027283e-01 
+1.4695249e-01 -1.5441737e-01 +1.4695249e-01 
+1.5363215e-01 -1.6143634e-01 +1.5363215e-01 
+1.6031181e-01 -1.6845532e-01 +1.6031181e-01 
+1.6699147e-01 -1.7547429e-01 +1.6699147e-01 
+1.7367112e-01 -1.8249326e-01 +1.7367112e-01 
+1.8035078e-01 -1.8951223e-01 +1.8035078e-01 
+1.8703044e-01 -1.9653120e-01 +1.8703044e-01 
+1.9371010e-01 -2.0355017e-01 +1.9371010e-01 
+2.0038976e-01 -2.1056914e-01 +2.0038976e-01 
+2.0706942e-01 -2.1758812e-01 +2.0706942e-01 
+2.1374908e-01 -2.2460709e-01 +2.1374908e-01 
+2.2042874e-01 -2.3162606e-01 +2.2042874e-01 
+2.2710839e-01 -2.3864503e-01 +2.2710839e-01 
+2.3378805e-01 -2.4566400e-01 +2.3378805e-01 
+2.4046771e-01 -2.5268297e-01 +2.4046771e-01 
+2.4714737e-01 -2.5970194e-01 +2.4714737e-01 
+2.5382703e-01 -2.6672092e-01 +2.5382703e-01 
+2.6050669e-01 -2.7373989e-01 +2.6050669e-01 
+2.6718635e-01 -2.8075886e-01 +2.6718635e-01 
+2.7386600e-01 -2.8777783e-01 +2.7386600e-01 
+2.8054566e-01 -2.9479680e-01 +2.8054566e-01 
+2.8722532e-01 -3.0181577e-01 +2.8722532e-01 
+2.9390498e-01 -3.0883475e-01 +2.9390498e-01 
+3.0058464e-01 -3.1585372e-01 +3.0058464e-01 
+3.0726430e-01 -3.2287269e-01 +3.0726430e-01 
+3.1394396e-01 -3.2989166e-01 +3.1394396e-01 
+3.2062362e-01 -3.3691063e-01 +3.2062362e-01 
+3.2730327e-01 -3.4392960e-01 +3.2730327e-01 
+3.3398293e-01 -3.5094857e-01 +3.3398293e-01 
+3.4066259e-01 -3.5796755e-01 +3.4066259e-01 
+3.4734225e-01 -3.6498652e-01 +3.4734225e-01 
+3.5402191e-01 -3.7200549e-01 +3.5402191e-01 
+3.6070157e-01 -3.7902446e-01 +3.6070157e-01 
+3.6738123e-01 -3.8604343e-01 +3.6738123e-01 
+3.7406088e-01 -3.9306240e-01 +3.7406088e-01 
+3.8074054e-01 -4.0008137e-01 +3.8074054e-01 
+3.8742020e-01 -4.0710035e-01 +3.8742020e-01 
+3.9409986e-01 -4.1411932e-01 +3.9409986e-01 
+4.0077952e-01 -4.2113829e-01 +4.0077952e-01 
+4.0745918e-01 -4.2815726e-01 +4.0745918e-01 
+4.1413884e-01 -4.3517623e-01 +4.1413884e-01 
+4.2081850e-01 -4.4219520e-01 +4.2081850e-01 
+4.2749815e-01 -4.4921417e-01 +4.2749815e-01 
+4.3417781e-01 -4.5623315e-01 +4.3417781e-01 
+4.4085747e-01 -4.6325212e-01 +4.4085747e-01 
+4.4753713e-01 -4.7027109e-01 +4.4753713e-01 
+4.5421679e-01 -4.7729006e-01 +4.5421679e-01 
+4.6089645e-01 -4.8430903e-01 +4.6089645e-01 
+4.6757611e-01 -4.9132800e-01 +4.6757611e-01 
+4.7425576e-01 -4.9834698e-01 +4.7425576e-01 
+4.8093542e-01 -5.0536595e-01 +4.8093542e-01 
+4.8761508e-01 -5.1238492e-01 +4.8761508e-01 
+5.0000000e-01 -5.0000000e-01 +5.0000000e-01 
+4.9970157e-01 -4.8825024e-01 +4.9970157e-01 
+4.9940314e-01 -4.7650048e-01 +4.9940314e-01 
+4.9910470e-01 -4.6475072e-01 +4.9910470e-01 
+4.9880627e-01 -4.5300096e-01 +4.9880627e-01 
+4.9850784e-01 -4.4125119e-01 +4.9850784e-01 
+4.9820941e-01 -4.2950143e-01 +4.9820941e-01 
+4.9791098e-01 -4.1775167e-01 +4.9791098e-01 
+4.9761255e-01 -4.0600191e-01 +4.9761255e-01 
+4.9731411e-01 -3.9425215e-01 +4.9731411e-01 
+4.9701568e-01 -3.8250239e-01 +4.9701568e-01 
+4.9671725e-01 -3.7075263e-01 +4.9671725e-01 
+4.9641882e-01 -3.5900287e-01 +4.9641882e-01 
+4.9612039e-01 -3.4725311e-01 +4.9612039e-01 
+4.9582196e-01 -3.3550335e-01 +4.9582196e-01 
+4.9552352e-01 -3.2375358e-01 +4.9552352e-01 
+4.9522509e-01 -3.1200382e-01 +4.9522509e-01 
+4.9492666e-01 -3.0025406e-01 +4.9492666e-01 
+4.9462823e-01 -2.8850430e-01 +4.9462823e-01 
+4.9432980e-01 -2.7675454e-01 +4.9432980e-01 
+4.9403136e-01 -2.6500478e-01 +4.9403136e-01 
+4.9373293e-01 -2.5325502e-01 +4.9373293e-01 
+4.9343450e-01 -2.4150526e-01 +4.9343450e-01 
+4.9313607e-01 -2.2975550e-01 +4.9313607e-01 
+4.9283764e-01 -2.1800574e-01 +4.9283764e-01 
+4.9253921e-01 -2.0625597e-01 +4.9253921e-01 
+4.9224077e-01 -1.9450621e-01 +4.9224077e-01 
+4.9194234e-01 -1.8275645e-01 +4.9194234e-01 
+4.9164391e-01 -1.7100669e-01 +4.9164391e-01 
+4.9134548e-01 -1.5925693e-01 +4.9134548e-01 
+4.9104705e-01 -1.4750717e-01 +4.9104705e-01 
+4.9074862e-01 -1.3575741e-01 +4.9074862e-01 
+4.9045018e-01 -1.2400765e-01 +4.9045018e-01 
+4.9015175e-01 -1.1225789e-01 +4.9015175e-01 
+4.8985332e-01 -1.0050813e-01 +4.8985332e-01 
+4.8955489e-01 -8.8758365e-02 +4.8955489e-01 
+4.8925646e-01 -7.7008604e-02 +4.8925646e-01 
+4.8895802e-01 -6.5258843e-02 +4.8895802e-01 
+4.8865959e-01 -5.3509082e-02 +4.8865959e-01 
+4.8836116e-01 -4.1759321e-02 +4.8836116e-01 
+4.8806273e-01 -3.0009560e-02 +4.8806273e-01 
+4.8776430e-01 -1.8259799e-02 +4.8776430e-01 
+4.8746587e-01 -6.5100378e-03 +4.8746587e-01 
+4.8716743e-01 +5.2397232e-03 +4.8716743e-01 
+4.8686900e-01 +1.6989484e-02 +4.8686900e-01 
+4.8657057e-01 +2.8739245e-02 +4.8657057e-01 
+4.8627214e-01 +4.0489006e-02 +4.8627214e-01 
+4.8597371e-01 +5.2238767e-02 +4.8597371e-01 
+4.8567528e-01 +6.3988528e-02 +4.8567528e-01 
+4.8537684e-01 +7.5738289e-02 +4.8537684e-01 
+4.8507841e-01 +8.7488050e-02 +4.8507841e-01 
+4.8477998e-01 +9.9237811e-02 +4.8477998e-01 
+4.8448155e-01 +1.1098757e-01 +4.8448155e-01 
+4.8418312e-01 +1.2273733e-01 +4.8418312e-01 
+4.8388468e-01 +1.3448709e-01 +4.8388468e-01 
+4.8358625e-01 +1.4623686e-01 +4.8358625e-01 
+4.8328782e-01 +1.5798662e-01 +4.8328782e-01 
+4.8298939e-01 +1.6973638e-01 +4.8298939e-01 
+4.8269096e-01 +1.8148614e-01 +4.8269096e-01 
+4.8239253e-01 +1.9323590e-01 +4.8239253e-01 
+4.8209409e-01 +2.0498566e-01 +4.8209409e-01 
+4.8179566e-01 +2.1673542e-01 +4.8179566e-01 
+4.8149723e-01 +2.2848518e-01 +4.8149723e-01 
+4.8119880e-01 +2.4023494e-01 +4.8119880e-01 
+4.8090037e-01 +2.5198470e-01 +4.8090037e-01 
+4.8060194e-01 +2.6373447e-01 +4.8060194e-01 
+4.8030350e-01 +2.7548423e-01 +4.8030350e-01 
+4.8000507e-01 +2.8723399e-01 +4.8000507e-01 
+4.7970664e-01 +2.9898375e-01 +4.7970664e-01 
+4.7940821e-01 +3.1073351e-01 +4.7940821e-01 
+4.7910978e-01 +3.2248327e-01 +4.7910978e-01 
+4.7881134e-01 +3.3423303e-01 +4.7881134e-01 
+4.7851291e-01 +3.4598279e-01 +4.7851291e-01 
+4.7821448e-01 +3.5773255e-01 +4.7821448e-01 
+4.7791605e-01 +3.6948231e-01 +4.7791605e-01 
+4.7761762e-01 +3.8123208e-01 +4.7761762e-01 
+4.7731919e-01 +3.9298184e-01 +4.7731919e-01 
+4.7702075e-01 +4.0473160e-01 +4.7702075e-01 
+4.7672232e-01 +4.1648136e-01 +4.7672232e-01 
+4.7642389e-01 +4.2823112e-01 +4.7642389e-01 
+4.7612546e-01 +4.3998088e-01 +4.7612546e-01 
+4.7582703e-01 +4.5173064e-01 +4.7582703e-01 
+4.7552860e-01 +4.6348040e-01 +4.7552860e-01 
+4.7523016e-01 +4.7523016e-01 +4.7523016e-01 
+4.6862974e-01 +4.6862974e-01 +4.6862974e-01 
+4.6202933e-01 +4.6202933e-01 +4.6202933e-01 
+4.5542891e-01 +4.5542891e-01 +4.5542891e-01 
+4.4882849e-01 +4.4882849e-01 +4.4882849e-01 
+4.4222807e-01 +4.4222807e-01 +4.4222807e-01 
+4.3562765e-01 +4.3562765e-01 +4.3562765e-01 
+4.2902723e-01 +4.2902723e-01 +4.2902723e-01 
+4.2242681e-01 +4.2242681e-01 +4.2242681e-01 
+4.1582639e-01 +4.1582639e-01 +4.1582639e-01 
+4.0922597e-01 +4.0922597e-01 +4.0922597e-01 
+4.0262556e-01 +4.0262556e-01 +4.0262556e-01 
+3.9602514e-01 +3.9602514e-01 +3.9602514e-01 
+3.8942472e-01 +3.8942472e-01 +3.8942472e-01 
+3.8282430e-01 +3.8282430e-01 +3.8282430e-01 
+3.7622388e-01 +3.7622388e-01 +3.7622388e-01 
+3.6962346e-01 +3.6962346e-01 +3.6962346e-01 
+3.6302304e-01 +3.6302304e-01 +3.6302304e-01 
+3.5642262e-01 +3.5642262e-01 +3.5642262e-01 
+3.4982220e-01 +3.4982220e-01 +3.4982220e-01 
+3.4322178e-01 +3.4322178e-01 +3.4322178e-01 
+3.3662137e-01 +3.3662137e-01 +3.3662137e-01 
+3.3002095e-01 +3.3002095e-01 +3.3002095e-01 
+3.2342053e-01 +3.2342053e-01 +3.2342053e-01 
+3.1682011e-01 +3.1682011e-01 +3.1682011e-01 
+3.1021969e-01 +3.1021969e-01 +3.1021969e-01 
+3.0361927e-01 +3.0361927e-01 +3.0361927e-01 
+2.9701885e-01 +2.9701885e-01 +2.9701885e-01 
+2.9041843e-01 +2.9041843e-01 +2.9041843e-01 
+2.8381801e-01 +2.8381801e-01 +2.8381801e-01 
+2.7721760e-01 +2.7721760e-01 +2.7721760e-01 
+2.7061718e-01 +2.7061718e-01 +2.7061718e-01 
