# num high symmetry points
8
# label high symmetry points
G X M G R X M R 
# indices high symmetry points
1 17 33 56 84 107 108 124 
# nk, nb, ns
124 64 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +3.1250000e-02 +0.0000000e+00 
+0.0000000e+00 +6.2500000e-02 +0.0000000e+00 
+0.0000000e+00 +9.3750000e-02 +0.0000000e+00 
+0.0000000e+00 +1.2500000e-01 +0.0000000e+00 
+0.0000000e+00 +1.5625000e-01 +0.0000000e+00 
+0.0000000e+00 +1.8750000e-01 +0.0000000e+00 
+0.0000000e+00 +2.1875000e-01 +0.0000000e+00 
+0.0000000e+00 +2.5000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.8125000e-01 +0.0000000e+00 
+0.0000000e+00 +3.1250000e-01 +0.0000000e+00 
+0.0000000e+00 +3.4375000e-01 +0.0000000e+00 
+0.0000000e+00 +3.7500000e-01 +0.0000000e+00 
+0.0000000e+00 +4.0625000e-01 +0.0000000e+00 
+0.0000000e+00 +4.3750000e-01 +0.0000000e+00 
+0.0000000e+00 +4.6875000e-01 +0.0000000e+00 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
+3.1250000e-02 +5.0000000e-01 +0.0000000e+00 
+6.2500000e-02 +5.0000000e-01 +0.0000000e+00 
+9.3750000e-02 +5.0000000e-01 +0.0000000e+00 
+1.2500000e-01 +5.0000000e-01 +0.0000000e+00 
+1.5625000e-01 +5.0000000e-01 +0.0000000e+00 
+1.8750000e-01 +5.0000000e-01 +0.0000000e+00 
+2.1875000e-01 +5.0000000e-01 +0.0000000e+00 
+2.5000000e-01 +5.0000000e-01 +0.0000000e+00 
+2.8125000e-01 +5.0000000e-01 +0.0000000e+00 
+3.1250000e-01 +5.0000000e-01 +0.0000000e+00 
+3.4375000e-01 +5.0000000e-01 +0.0000000e+00 
+3.7500000e-01 +5.0000000e-01 +0.0000000e+00 
+4.0625000e-01 +5.0000000e-01 +0.0000000e+00 
+4.3750000e-01 +5.0000000e-01 +0.0000000e+00 
+4.6875000e-01 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+4.7826087e-01 +4.7826087e-01 +0.0000000e+00 
+4.5652174e-01 +4.5652174e-01 +0.0000000e+00 
+4.3478261e-01 +4.3478261e-01 +0.0000000e+00 
+4.1304348e-01 +4.1304348e-01 +0.0000000e+00 
+3.9130435e-01 +3.9130435e-01 +0.0000000e+00 
+3.6956522e-01 +3.6956522e-01 +0.0000000e+00 
+3.4782609e-01 +3.4782609e-01 +0.0000000e+00 
+3.2608696e-01 +3.2608696e-01 +0.0000000e+00 
+3.0434783e-01 +3.0434783e-01 +0.0000000e+00 
+2.8260870e-01 +2.8260870e-01 +0.0000000e+00 
+2.6086957e-01 +2.6086957e-01 +0.0000000e+00 
+2.3913043e-01 +2.3913043e-01 +0.0000000e+00 
+2.1739130e-01 +2.1739130e-01 +0.0000000e+00 
+1.9565217e-01 +1.9565217e-01 +0.0000000e+00 
+1.7391304e-01 +1.7391304e-01 +0.0000000e+00 
+1.5217391e-01 +1.5217391e-01 +0.0000000e+00 
+1.3043478e-01 +1.3043478e-01 +0.0000000e+00 
+1.0869565e-01 +1.0869565e-01 +0.0000000e+00 
+8.6956522e-02 +8.6956522e-02 +0.0000000e+00 
+6.5217391e-02 +6.5217391e-02 +0.0000000e+00 
+4.3478261e-02 +4.3478261e-02 +0.0000000e+00 
+2.1739130e-02 +2.1739130e-02 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+1.7857143e-02 +1.7857143e-02 +1.7857143e-02 
+3.5714286e-02 +3.5714286e-02 +3.5714286e-02 
+5.3571429e-02 +5.3571429e-02 +5.3571429e-02 
+7.1428571e-02 +7.1428571e-02 +7.1428571e-02 
+8.9285714e-02 +8.9285714e-02 +8.9285714e-02 
+1.0714286e-01 +1.0714286e-01 +1.0714286e-01 
+1.2500000e-01 +1.2500000e-01 +1.2500000e-01 
+1.4285714e-01 +1.4285714e-01 +1.4285714e-01 
+1.6071429e-01 +1.6071429e-01 +1.6071429e-01 
+1.7857143e-01 +1.7857143e-01 +1.7857143e-01 
+1.9642857e-01 +1.9642857e-01 +1.9642857e-01 
+2.1428571e-01 +2.1428571e-01 +2.1428571e-01 
+2.3214286e-01 +2.3214286e-01 +2.3214286e-01 
+2.5000000e-01 +2.5000000e-01 +2.5000000e-01 
+2.6785714e-01 +2.6785714e-01 +2.6785714e-01 
+2.8571429e-01 +2.8571429e-01 +2.8571429e-01 
+3.0357143e-01 +3.0357143e-01 +3.0357143e-01 
+3.2142857e-01 +3.2142857e-01 +3.2142857e-01 
+3.3928571e-01 +3.3928571e-01 +3.3928571e-01 
+3.5714286e-01 +3.5714286e-01 +3.5714286e-01 
+3.7500000e-01 +3.7500000e-01 +3.7500000e-01 
+3.9285714e-01 +3.9285714e-01 +3.9285714e-01 
+4.1071429e-01 +4.1071429e-01 +4.1071429e-01 
+4.2857143e-01 +4.2857143e-01 +4.2857143e-01 
+4.4642857e-01 +4.4642857e-01 +4.4642857e-01 
+4.6428571e-01 +4.6428571e-01 +4.6428571e-01 
+4.8214286e-01 +4.8214286e-01 +4.8214286e-01 
+5.0000000e-01 +5.0000000e-01 +5.0000000e-01 
+4.7826087e-01 +5.0000000e-01 +4.7826087e-01 
+4.5652174e-01 +5.0000000e-01 +4.5652174e-01 
+4.3478261e-01 +5.0000000e-01 +4.3478261e-01 
+4.1304348e-01 +5.0000000e-01 +4.1304348e-01 
+3.9130435e-01 +5.0000000e-01 +3.9130435e-01 
+3.6956522e-01 +5.0000000e-01 +3.6956522e-01 
+3.4782609e-01 +5.0000000e-01 +3.4782609e-01 
+3.2608696e-01 +5.0000000e-01 +3.2608696e-01 
+3.0434783e-01 +5.0000000e-01 +3.0434783e-01 
