--------------------
# Delta values of ev_data_szp.txt with respect to ev_data_pw.txt (in meV/atom)
# (71 elements of 71 included)
# calculated with calcDelta.py version 3.1 
# from left to right: Delta [meV/atom] - relative Delta [%] - Delta1 [meV/atom]
--------------------
H	 3.061	 184.1	47.893 
He	 0.066	 69.5	10.950 
Li	 0.608	 43.8	6.716 
Be	 1.239	 24.0	3.657 
B	 12.853	 138.8	25.250 
C	 24.411	 157.9	30.475 
N	 110.081	 131.6	283.183 
O	 67.453	 98.5	233.442 
F	 28.795	 117.1	139.549 
Ne	 1.149	 162.7	81.485 
Na	 0.579	 38.3	5.815 
Mg	 0.631	 14.5	2.198 
Al	 13.686	 166.5	33.328 
Si	 16.590	 152.4	28.586 
P	 30.285	 182.7	65.127 
S	 19.446	 177.6	40.565 
Cl	 38.300	 99.9	162.465 
Ar	 0.753	 172.6	31.334 
K	 3.286	 174.1	37.987 
Ca	 3.175	 77.1	12.170 
Sc	 0.636	 9.6	1.458 
Ti	 6.233	 60.3	9.368 
V	 13.713	 97.8	16.007 
Cr	 1.037	 6.5	0.994 
Mn	 20.495	 120.9	20.455 
Fe	 16.891	 114.7	18.753 
Co	 20.261	 129.3	22.530 
Ni	 16.593	 119.9	20.525 
Cu	 5.260	 56.7	8.776 
Zn	 2.997	 51.1	7.958 
Ga	 7.817	 131.6	22.723 
Ge	 8.400	 109.0	18.080 
As	 33.869	 183.6	58.583 
Se	 125.593	 116.4	170.783 
Br	 25.988	 153.2	95.301 
Kr	 0.758	 183.9	47.751 
Rb	 0.655	 50.0	7.769 
Sr	 20.532	 145.6	94.628 
Y	 4.896	 67.6	10.570 
Zr	 3.761	 32.6	4.979 
Nb	 8.487	 49.8	7.701 
Mo	 10.587	 48.6	7.519 
Tc	 31.011	 121.9	21.036 
Ru	 22.054	 92.4	14.980 
Rh	 23.111	 112.4	18.746 
Pd	 12.776	 85.3	13.653 
Ag	 3.086	 35.8	5.541 
Cd	 3.026	 69.3	10.822 
In	 9.729	 162.6	31.626 
Sn	 7.541	 105.5	17.415 
Sb	 16.362	 156.7	29.896 
Te	 18.591	 171.3	36.227 
I	 21.713	 175.0	69.325 
Xe	 1.079	 183.7	56.511 
Cs	 0.749	 61.8	9.709 
Ba	 23.482	 127.8	111.389 
Lu	 1.514	 0.6	0.090 
Hf	 18.800	 79.4	12.636 
Ta	 9.098	 46.3	7.121 
W	 21.667	 82.2	13.049 
Re	 18.994	 65.2	10.211 
Os	 23.252	 75.8	12.055 
Ir	 19.091	 73.0	11.540 
Pt	 12.061	 60.5	9.507 
Au	 11.736	 87.1	14.121 
Hg	 5.515	 109.5	90.719 
Tl	 3.583	 81.2	12.888 
Pb	 6.293	 87.2	13.992 
Bi	 11.099	 123.8	21.262 
Po	 14.142	 140.1	25.193 
Rn	 0.835	 181.5	44.064 
--------------------
np.mean  15.548	 103.9	38.038
np.std   20.963	 51.3	52.168
np.max   125.593	 184.1	283.183 	 (Se, H, N)
np.min   0.066	 0.6	0.090 	 (He, Lu, Lu)
--------------------
