# num high symmetry points
16
# label high symmetry points
G X S Y G Z U R T Z Y T U X S R 
# indices high symmetry points
1 26 40 65 79 91 116 130 155 169 170 182 183 195 196 208 
# nk, nb, ns
208 36 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +2.0000000e-02 +0.0000000e+00 
+0.0000000e+00 +4.0000000e-02 +0.0000000e+00 
+0.0000000e+00 +6.0000000e-02 +0.0000000e+00 
+0.0000000e+00 +8.0000000e-02 +0.0000000e+00 
+0.0000000e+00 +1.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +1.2000000e-01 +0.0000000e+00 
+0.0000000e+00 +1.4000000e-01 +0.0000000e+00 
+0.0000000e+00 +1.6000000e-01 +0.0000000e+00 
+0.0000000e+00 +1.8000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.2000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.4000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.6000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.8000000e-01 +0.0000000e+00 
+0.0000000e+00 +3.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +3.2000000e-01 +0.0000000e+00 
+0.0000000e+00 +3.4000000e-01 +0.0000000e+00 
+0.0000000e+00 +3.6000000e-01 +0.0000000e+00 
+0.0000000e+00 +3.8000000e-01 +0.0000000e+00 
+0.0000000e+00 +4.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +4.2000000e-01 +0.0000000e+00 
+0.0000000e+00 +4.4000000e-01 +0.0000000e+00 
+0.0000000e+00 +4.6000000e-01 +0.0000000e+00 
+0.0000000e+00 +4.8000000e-01 +0.0000000e+00 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
+3.5714286e-02 +5.0000000e-01 +0.0000000e+00 
+7.1428571e-02 +5.0000000e-01 +0.0000000e+00 
+1.0714286e-01 +5.0000000e-01 +0.0000000e+00 
+1.4285714e-01 +5.0000000e-01 +0.0000000e+00 
+1.7857143e-01 +5.0000000e-01 +0.0000000e+00 
+2.1428571e-01 +5.0000000e-01 +0.0000000e+00 
+2.5000000e-01 +5.0000000e-01 +0.0000000e+00 
+2.8571429e-01 +5.0000000e-01 +0.0000000e+00 
+3.2142857e-01 +5.0000000e-01 +0.0000000e+00 
+3.5714286e-01 +5.0000000e-01 +0.0000000e+00 
+3.9285714e-01 +5.0000000e-01 +0.0000000e+00 
+4.2857143e-01 +5.0000000e-01 +0.0000000e+00 
+4.6428571e-01 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +4.8000000e-01 +0.0000000e+00 
+5.0000000e-01 +4.6000000e-01 +0.0000000e+00 
+5.0000000e-01 +4.4000000e-01 +0.0000000e+00 
+5.0000000e-01 +4.2000000e-01 +0.0000000e+00 
+5.0000000e-01 +4.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +3.8000000e-01 +0.0000000e+00 
+5.0000000e-01 +3.6000000e-01 +0.0000000e+00 
+5.0000000e-01 +3.4000000e-01 +0.0000000e+00 
+5.0000000e-01 +3.2000000e-01 +0.0000000e+00 
+5.0000000e-01 +3.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +2.8000000e-01 +0.0000000e+00 
+5.0000000e-01 +2.6000000e-01 +0.0000000e+00 
+5.0000000e-01 +2.4000000e-01 +0.0000000e+00 
+5.0000000e-01 +2.2000000e-01 +0.0000000e+00 
+5.0000000e-01 +2.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +1.8000000e-01 +0.0000000e+00 
+5.0000000e-01 +1.6000000e-01 +0.0000000e+00 
+5.0000000e-01 +1.4000000e-01 +0.0000000e+00 
+5.0000000e-01 +1.2000000e-01 +0.0000000e+00 
+5.0000000e-01 +1.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +8.0000000e-02 +0.0000000e+00 
+5.0000000e-01 +6.0000000e-02 +0.0000000e+00 
+5.0000000e-01 +4.0000000e-02 +0.0000000e+00 
+5.0000000e-01 +2.0000000e-02 +0.0000000e+00 
+5.0000000e-01 +0.0000000e+00 +0.0000000e+00 
+4.6428571e-01 +0.0000000e+00 +0.0000000e+00 
+4.2857143e-01 +0.0000000e+00 +0.0000000e+00 
+3.9285714e-01 +0.0000000e+00 +0.0000000e+00 
+3.5714286e-01 +0.0000000e+00 +0.0000000e+00 
+3.2142857e-01 +0.0000000e+00 +0.0000000e+00 
+2.8571429e-01 +0.0000000e+00 +0.0000000e+00 
+2.5000000e-01 +0.0000000e+00 +0.0000000e+00 
+2.1428571e-01 +0.0000000e+00 +0.0000000e+00 
+1.7857143e-01 +0.0000000e+00 +0.0000000e+00 
+1.4285714e-01 +0.0000000e+00 +0.0000000e+00 
+1.0714286e-01 +0.0000000e+00 +0.0000000e+00 
+7.1428571e-02 +0.0000000e+00 +0.0000000e+00 
+3.5714286e-02 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 -4.1666667e-02 
+0.0000000e+00 +0.0000000e+00 -8.3333333e-02 
+0.0000000e+00 +0.0000000e+00 -1.2500000e-01 
+0.0000000e+00 +0.0000000e+00 -1.6666667e-01 
+0.0000000e+00 +0.0000000e+00 -2.0833333e-01 
+0.0000000e+00 +0.0000000e+00 -2.5000000e-01 
+0.0000000e+00 +0.0000000e+00 -2.9166667e-01 
+0.0000000e+00 +0.0000000e+00 -3.3333333e-01 
+0.0000000e+00 +0.0000000e+00 -3.7500000e-01 
+0.0000000e+00 +0.0000000e+00 -4.1666667e-01 
+0.0000000e+00 +0.0000000e+00 -4.5833333e-01 
+0.0000000e+00 +0.0000000e+00 -5.0000000e-01 
+0.0000000e+00 +2.0000000e-02 -5.0000000e-01 
+0.0000000e+00 +4.0000000e-02 -5.0000000e-01 
+0.0000000e+00 +6.0000000e-02 -5.0000000e-01 
+0.0000000e+00 +8.0000000e-02 -5.0000000e-01 
+0.0000000e+00 +1.0000000e-01 -5.0000000e-01 
+0.0000000e+00 +1.2000000e-01 -5.0000000e-01 
+0.0000000e+00 +1.4000000e-01 -5.0000000e-01 
+0.0000000e+00 +1.6000000e-01 -5.0000000e-01 
+0.0000000e+00 +1.8000000e-01 -5.0000000e-01 
+0.0000000e+00 +2.0000000e-01 -5.0000000e-01 
+0.0000000e+00 +2.2000000e-01 -5.0000000e-01 
+0.0000000e+00 +2.4000000e-01 -5.0000000e-01 
+0.0000000e+00 +2.6000000e-01 -5.0000000e-01 
+0.0000000e+00 +2.8000000e-01 -5.0000000e-01 
+0.0000000e+00 +3.0000000e-01 -5.0000000e-01 
+0.0000000e+00 +3.2000000e-01 -5.0000000e-01 
+0.0000000e+00 +3.4000000e-01 -5.0000000e-01 
+0.0000000e+00 +3.6000000e-01 -5.0000000e-01 
+0.0000000e+00 +3.8000000e-01 -5.0000000e-01 
+0.0000000e+00 +4.0000000e-01 -5.0000000e-01 
+0.0000000e+00 +4.2000000e-01 -5.0000000e-01 
+0.0000000e+00 +4.4000000e-01 -5.0000000e-01 
+0.0000000e+00 +4.6000000e-01 -5.0000000e-01 
+0.0000000e+00 +4.8000000e-01 -5.0000000e-01 
+0.0000000e+00 +5.0000000e-01 -5.0000000e-01 
+3.5714286e-02 +5.0000000e-01 -5.0000000e-01 
+7.1428571e-02 +5.0000000e-01 -5.0000000e-01 
+1.0714286e-01 +5.0000000e-01 -5.0000000e-01 
+1.4285714e-01 +5.0000000e-01 -5.0000000e-01 
+1.7857143e-01 +5.0000000e-01 -5.0000000e-01 
+2.1428571e-01 +5.0000000e-01 -5.0000000e-01 
+2.5000000e-01 +5.0000000e-01 -5.0000000e-01 
+2.8571429e-01 +5.0000000e-01 -5.0000000e-01 
+3.2142857e-01 +5.0000000e-01 -5.0000000e-01 
+3.5714286e-01 +5.0000000e-01 -5.0000000e-01 
+3.9285714e-01 +5.0000000e-01 -5.0000000e-01 
+4.2857143e-01 +5.0000000e-01 -5.0000000e-01 
+4.6428571e-01 +5.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +5.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +4.8000000e-01 -5.0000000e-01 
+5.0000000e-01 +4.6000000e-01 -5.0000000e-01 
+5.0000000e-01 +4.4000000e-01 -5.0000000e-01 
+5.0000000e-01 +4.2000000e-01 -5.0000000e-01 
+5.0000000e-01 +4.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +3.8000000e-01 -5.0000000e-01 
+5.0000000e-01 +3.6000000e-01 -5.0000000e-01 
+5.0000000e-01 +3.4000000e-01 -5.0000000e-01 
+5.0000000e-01 +3.2000000e-01 -5.0000000e-01 
+5.0000000e-01 +3.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +2.8000000e-01 -5.0000000e-01 
+5.0000000e-01 +2.6000000e-01 -5.0000000e-01 
+5.0000000e-01 +2.4000000e-01 -5.0000000e-01 
+5.0000000e-01 +2.2000000e-01 -5.0000000e-01 
+5.0000000e-01 +2.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +1.8000000e-01 -5.0000000e-01 
+5.0000000e-01 +1.6000000e-01 -5.0000000e-01 
+5.0000000e-01 +1.4000000e-01 -5.0000000e-01 
+5.0000000e-01 +1.2000000e-01 -5.0000000e-01 
+5.0000000e-01 +1.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +8.0000000e-02 -5.0000000e-01 
+5.0000000e-01 +6.0000000e-02 -5.0000000e-01 
+5.0000000e-01 +4.0000000e-02 -5.0000000e-01 
+5.0000000e-01 +2.0000000e-02 -5.0000000e-01 
+5.0000000e-01 +0.0000000e+00 -5.0000000e-01 
+4.6428571e-01 +0.0000000e+00 -5.0000000e-01 
+4.2857143e-01 +0.0000000e+00 -5.0000000e-01 
+3.9285714e-01 +0.0000000e+00 -5.0000000e-01 
+3.5714286e-01 +0.0000000e+00 -5.0000000e-01 
+3.2142857e-01 +0.0000000e+00 -5.0000000e-01 
+2.8571429e-01 +0.0000000e+00 -5.0000000e-01 
+2.5000000e-01 +0.0000000e+00 -5.0000000e-01 
+2.1428571e-01 +0.0000000e+00 -5.0000000e-01 
+1.7857143e-01 +0.0000000e+00 -5.0000000e-01 
+1.4285714e-01 +0.0000000e+00 -5.0000000e-01 
+1.0714286e-01 +0.0000000e+00 -5.0000000e-01 
+7.1428571e-02 +0.0000000e+00 -5.0000000e-01 
+3.5714286e-02 +0.0000000e+00 -5.0000000e-01 
+0.0000000e+00 +0.0000000e+00 -5.0000000e-01 
+5.0000000e-01 +0.0000000e+00 +0.0000000e+00 
+5.0000000e-01 +0.0000000e+00 -4.1666667e-02 
+5.0000000e-01 +0.0000000e+00 -8.3333333e-02 
+5.0000000e-01 +0.0000000e+00 -1.2500000e-01 
+5.0000000e-01 +0.0000000e+00 -1.6666667e-01 
+5.0000000e-01 +0.0000000e+00 -2.0833333e-01 
+5.0000000e-01 +0.0000000e+00 -2.5000000e-01 
+5.0000000e-01 +0.0000000e+00 -2.9166667e-01 
+5.0000000e-01 +0.0000000e+00 -3.3333333e-01 
+5.0000000e-01 +0.0000000e+00 -3.7500000e-01 
+5.0000000e-01 +0.0000000e+00 -4.1666667e-01 
+5.0000000e-01 +0.0000000e+00 -4.5833333e-01 
+5.0000000e-01 +0.0000000e+00 -5.0000000e-01 
+0.0000000e+00 +5.0000000e-01 -5.0000000e-01 
+0.0000000e+00 +5.0000000e-01 -4.5833333e-01 
+0.0000000e+00 +5.0000000e-01 -4.1666667e-01 
+0.0000000e+00 +5.0000000e-01 -3.7500000e-01 
+0.0000000e+00 +5.0000000e-01 -3.3333333e-01 
+0.0000000e+00 +5.0000000e-01 -2.9166667e-01 
+0.0000000e+00 +5.0000000e-01 -2.5000000e-01 
+0.0000000e+00 +5.0000000e-01 -2.0833333e-01 
+0.0000000e+00 +5.0000000e-01 -1.6666667e-01 
+0.0000000e+00 +5.0000000e-01 -1.2500000e-01 
+0.0000000e+00 +5.0000000e-01 -8.3333333e-02 
+0.0000000e+00 +5.0000000e-01 -4.1666667e-02 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +5.0000000e-01 -4.1666667e-02 
+5.0000000e-01 +5.0000000e-01 -8.3333333e-02 
+5.0000000e-01 +5.0000000e-01 -1.2500000e-01 
+5.0000000e-01 +5.0000000e-01 -1.6666667e-01 
+5.0000000e-01 +5.0000000e-01 -2.0833333e-01 
+5.0000000e-01 +5.0000000e-01 -2.5000000e-01 
+5.0000000e-01 +5.0000000e-01 -2.9166667e-01 
+5.0000000e-01 +5.0000000e-01 -3.3333333e-01 
+5.0000000e-01 +5.0000000e-01 -3.7500000e-01 
+5.0000000e-01 +5.0000000e-01 -4.1666667e-01 
+5.0000000e-01 +5.0000000e-01 -4.5833333e-01 
+5.0000000e-01 +5.0000000e-01 -5.0000000e-01 
# energies (kpt,band,spin)
# spin = 1
-1.7667482e+01 -1.7625234e+01 -1.7552898e+01 -1.7519843e+01 -1.3526016e+01 -1.3475100e+01 -1.3123735e+01 -1.3108605e+01 -6.5364570e+00 -6.4538020e+00 -5.6975989e+00 -5.6807937e+00 -4.5035275e+00 -4.2031799e+00 -3.9804653e+00 -3.8817894e+00 -3.8504019e+00 -3.8044596e+00 -3.7423880e+00 -3.7301873e+00 -1.8459353e+00 -1.7036768e+00 -1.6354822e+00 -1.2952878e+00 -1.2281215e+00 -1.2221786e+00 -1.2082909e+00 -1.0775730e+00 +1.0435687e+00 +1.1750375e+00 +2.0190134e+00 +2.0703770e+00 +4.5267953e+00 +5.1636183e+00 +6.6255722e+00 +6.9857293e+00 
-1.7667201e+01 -1.7625023e+01 -1.7552826e+01 -1.7519844e+01 -1.3525626e+01 -1.3474775e+01 -1.3124112e+01 -1.3109052e+01 -6.5359871e+00 -6.4533645e+00 -5.6987128e+00 -5.6817786e+00 -4.5025743e+00 -4.2025759e+00 -3.9823792e+00 -3.8840595e+00 -3.8504480e+00 -3.8064589e+00 -3.7445810e+00 -3.7306672e+00 -1.8451562e+00 -1.7030197e+00 -1.6347146e+00 -1.2952317e+00 -1.2285910e+00 -1.2222408e+00 -1.2088807e+00 -1.0783571e+00 +1.0448572e+00 +1.1762667e+00 +2.0182196e+00 +2.0695696e+00 +4.5318292e+00 +5.1686598e+00 +6.6297886e+00 +6.9922016e+00 
-1.7666358e+01 -1.7624392e+01 -1.7552611e+01 -1.7519850e+01 -1.3524459e+01 -1.3473802e+01 -1.3125241e+01 -1.3110392e+01 -6.5345767e+00 -6.4520509e+00 -5.7020509e+00 -5.6847304e+00 -4.4997198e+00 -4.2007686e+00 -3.9880574e+00 -3.8907981e+00 -3.8505898e+00 -3.8124069e+00 -3.7511030e+00 -3.7321094e+00 -1.8428227e+00 -1.7010862e+00 -1.6324577e+00 -1.2950635e+00 -1.2300280e+00 -1.2224277e+00 -1.2106879e+00 -1.0807056e+00 +1.0487480e+00 +1.1799654e+00 +2.0158545e+00 +2.0671658e+00 +4.5468829e+00 +5.1837677e+00 +6.6424467e+00 +7.0115670e+00 
-1.7664962e+01 -1.7623349e+01 -1.7552260e+01 -1.7519864e+01 -1.3522519e+01 -1.3472183e+01 -1.3127118e+01 -1.3112618e+01 -6.5322230e+00 -6.4498577e+00 -5.7076024e+00 -5.6896402e+00 -4.4949787e+00 -4.1977719e+00 -3.9973135e+00 -3.9017942e+00 -3.8508380e+00 -3.8221561e+00 -3.7617873e+00 -3.7345209e+00 -1.8389462e+00 -1.6979865e+00 -1.6288444e+00 -1.2947834e+00 -1.2325124e+00 -1.2227407e+00 -1.2138203e+00 -1.0846072e+00 +1.0553125e+00 +1.1861643e+00 +2.0119656e+00 +2.0632184e+00 +4.5718157e+00 +5.2088910e+00 +6.6635647e+00 +7.0436715e+00 
-1.7663025e+01 -1.7621905e+01 -1.7551781e+01 -1.7519897e+01 -1.3519813e+01 -1.3469927e+01 -1.3129732e+01 -1.3115719e+01 -6.5289216e+00 -6.4467792e+00 -5.7153485e+00 -5.6964927e+00 -4.4883759e+00 -4.1936089e+00 -4.0098495e+00 -3.9167109e+00 -3.8512103e+00 -3.8354701e+00 -3.7763671e+00 -3.7379134e+00 -1.8335453e+00 -1.6938918e+00 -1.6240818e+00 -1.2943919e+00 -1.2361639e+00 -1.2231818e+00 -1.2184375e+00 -1.0900427e+00 +1.0646521e+00 +1.1949048e+00 +2.0066283e+00 +2.0578107e+00 +4.6064017e+00 +5.2439439e+00 +6.6931464e+00 +6.8275661e+00 
-1.7660566e+01 -1.7620076e+01 -1.7551189e+01 -1.7519959e+01 -1.3516352e+01 -1.3467039e+01 -1.3133071e+01 -1.3119679e+01 -6.5246659e+00 -6.4428073e+00 -5.7252617e+00 -5.7052658e+00 -4.4799457e+00 -4.1883117e+00 -4.0252729e+00 -3.9351059e+00 -3.8520361e+00 -3.8517310e+00 -3.7944911e+00 -3.7423023e+00 -1.8266460e+00 -1.6890186e+00 -1.6184307e+00 -1.2938894e+00 -1.2411234e+00 -1.2247255e+00 -1.2237537e+00 -1.0969861e+00 +1.0768760e+00 +1.2062262e+00 +1.9999400e+00 +2.0510500e+00 +4.6503424e+00 +5.2888032e+00 +6.7311406e+00 +7.1449679e+00 
-1.7657605e+01 -1.7617883e+01 -1.7550500e+01 -1.7520064e+01 -1.3512149e+01 -1.3463533e+01 -1.3137120e+01 -1.3124479e+01 -6.5194470e+00 -6.4379312e+00 -5.7373041e+00 -5.7159294e+00 -4.4697325e+00 -4.1819215e+00 -4.0431181e+00 -3.9564556e+00 -3.8714804e+00 -3.8524303e+00 -3.8157427e+00 -3.7477065e+00 -1.8182812e+00 -1.6836090e+00 -1.6121824e+00 -1.2932767e+00 -1.2475303e+00 -1.2328660e+00 -1.2244593e+00 -1.1054035e+00 +1.0920750e+00 +1.2201512e+00 +1.9920133e+00 +2.0430588e+00 +4.7032809e+00 +5.3433067e+00 +6.7774099e+00 +7.2133346e+00 
-1.7654170e+01 -1.7615350e+01 -1.7549733e+01 -1.7520231e+01 -1.3507220e+01 -1.3459419e+01 -1.3141858e+01 -1.3130096e+01 -6.5132538e+00 -6.4321377e+00 -5.7514261e+00 -5.7284445e+00 -4.4577901e+00 -4.1744876e+00 -4.0628693e+00 -3.9801816e+00 -3.8933855e+00 -3.8533443e+00 -3.8396595e+00 -3.7541473e+00 -1.8084909e+00 -1.6779102e+00 -1.6056339e+00 -1.2925540e+00 -1.2555013e+00 -1.2430064e+00 -1.2253020e+00 -1.1152547e+00 +1.1102960e+00 +1.2366702e+00 +1.9829681e+00 +2.0339666e+00 +4.7648186e+00 +5.4072499e+00 +6.8316790e+00 +7.2927773e+00 
-1.7650292e+01 -1.7612505e+01 -1.7548911e+01 -1.7520479e+01 -1.3501584e+01 -1.3454714e+01 -1.3147263e+01 -1.3136501e+01 -6.5060727e+00 -6.4254108e+00 -5.7675644e+00 -5.7427619e+00 -4.4441815e+00 -4.1660679e+00 -4.0839841e+00 -4.0056762e+00 -3.9173072e+00 -3.8657540e+00 -3.8545134e+00 -3.7616476e+00 -1.7973212e+00 -1.6721549e+00 -1.5990653e+00 -1.2917219e+00 -1.2651102e+00 -1.2552346e+00 -1.2262846e+00 -1.1264924e+00 +1.1315213e+00 +1.2557298e+00 +1.9729237e+00 +2.0239008e+00 +4.8345300e+00 +5.4803841e+00 +6.7957336e+00 +6.8935013e+00 
