 kx | ky | kz | Total energy (eV / atom)
    1     1     1  -2.423885992421e+03
    2     2     2  -2.419302609579e+03
    3     3     3  -2.419988901043e+03
    4     4     4  -2.420079481817e+03
    5     5     5  -2.420000162831e+03
    6     6     6  -2.420036581154e+03
    7     7     7  -2.420012131602e+03
    8     8     8  -2.420021756892e+03
    9     9     9  -2.420018359631e+03
   10    10    10  -2.420023727421e+03
   11    11    11  -2.420024943685e+03
   12    12    12  -2.420024875828e+03
