# num high symmetry points
8
# label high symmetry points
G X M G R X M R 
# indices high symmetry points
1 39 77 131 197 251 252 290 
# nk, nb, ns
290 20 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +1.3157895e-02 +0.0000000e+00 
+0.0000000e+00 +2.6315789e-02 +0.0000000e+00 
+0.0000000e+00 +3.9473684e-02 +0.0000000e+00 
+0.0000000e+00 +5.2631579e-02 +0.0000000e+00 
+0.0000000e+00 +6.5789474e-02 +0.0000000e+00 
+0.0000000e+00 +7.8947368e-02 +0.0000000e+00 
+0.0000000e+00 +9.2105263e-02 +0.0000000e+00 
+0.0000000e+00 +1.0526316e-01 +0.0000000e+00 
+0.0000000e+00 +1.1842105e-01 +0.0000000e+00 
+0.0000000e+00 +1.3157895e-01 +0.0000000e+00 
+0.0000000e+00 +1.4473684e-01 +0.0000000e+00 
+0.0000000e+00 +1.5789474e-01 +0.0000000e+00 
+0.0000000e+00 +1.7105263e-01 +0.0000000e+00 
+0.0000000e+00 +1.8421053e-01 +0.0000000e+00 
+0.0000000e+00 +1.9736842e-01 +0.0000000e+00 
+0.0000000e+00 +2.1052632e-01 +0.0000000e+00 
+0.0000000e+00 +2.2368421e-01 +0.0000000e+00 
+0.0000000e+00 +2.3684211e-01 +0.0000000e+00 
+0.0000000e+00 +2.5000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.6315789e-01 +0.0000000e+00 
+0.0000000e+00 +2.7631579e-01 +0.0000000e+00 
+0.0000000e+00 +2.8947368e-01 +0.0000000e+00 
+0.0000000e+00 +3.0263158e-01 +0.0000000e+00 
+0.0000000e+00 +3.1578947e-01 +0.0000000e+00 
+0.0000000e+00 +3.2894737e-01 +0.0000000e+00 
+0.0000000e+00 +3.4210526e-01 +0.0000000e+00 
+0.0000000e+00 +3.5526316e-01 +0.0000000e+00 
+0.0000000e+00 +3.6842105e-01 +0.0000000e+00 
+0.0000000e+00 +3.8157895e-01 +0.0000000e+00 
+0.0000000e+00 +3.9473684e-01 +0.0000000e+00 
+0.0000000e+00 +4.0789474e-01 +0.0000000e+00 
+0.0000000e+00 +4.2105263e-01 +0.0000000e+00 
+0.0000000e+00 +4.3421053e-01 +0.0000000e+00 
+0.0000000e+00 +4.4736842e-01 +0.0000000e+00 
+0.0000000e+00 +4.6052632e-01 +0.0000000e+00 
+0.0000000e+00 +4.7368421e-01 +0.0000000e+00 
+0.0000000e+00 +4.8684211e-01 +0.0000000e+00 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
+1.3157895e-02 +5.0000000e-01 +0.0000000e+00 
+2.6315789e-02 +5.0000000e-01 +0.0000000e+00 
+3.9473684e-02 +5.0000000e-01 +0.0000000e+00 
+5.2631579e-02 +5.0000000e-01 +0.0000000e+00 
+6.5789474e-02 +5.0000000e-01 +0.0000000e+00 
+7.8947368e-02 +5.0000000e-01 +0.0000000e+00 
+9.2105263e-02 +5.0000000e-01 +0.0000000e+00 
+1.0526316e-01 +5.0000000e-01 +0.0000000e+00 
+1.1842105e-01 +5.0000000e-01 +0.0000000e+00 
+1.3157895e-01 +5.0000000e-01 +0.0000000e+00 
+1.4473684e-01 +5.0000000e-01 +0.0000000e+00 
+1.5789474e-01 +5.0000000e-01 +0.0000000e+00 
+1.7105263e-01 +5.0000000e-01 +0.0000000e+00 
+1.8421053e-01 +5.0000000e-01 +0.0000000e+00 
+1.9736842e-01 +5.0000000e-01 +0.0000000e+00 
+2.1052632e-01 +5.0000000e-01 +0.0000000e+00 
+2.2368421e-01 +5.0000000e-01 +0.0000000e+00 
+2.3684211e-01 +5.0000000e-01 +0.0000000e+00 
+2.5000000e-01 +5.0000000e-01 +0.0000000e+00 
