# num high symmetry points
18
# label high symmetry points
G Y H C E M1 A X G Z D M Z A D Y X H1 
# indices high symmetry points
1 17 33 35 65 67 81 111 129 159 175 191 192 210 211 241 242 256 
# nk, nb, ns
256 32 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 -3.1250000e-02 
+0.0000000e+00 +0.0000000e+00 -6.2500000e-02 
+0.0000000e+00 +0.0000000e+00 -9.3750000e-02 
+0.0000000e+00 +0.0000000e+00 -1.2500000e-01 
+0.0000000e+00 +0.0000000e+00 -1.5625000e-01 
+0.0000000e+00 +0.0000000e+00 -1.8750000e-01 
+0.0000000e+00 +0.0000000e+00 -2.1875000e-01 
+0.0000000e+00 +0.0000000e+00 -2.5000000e-01 
+0.0000000e+00 +0.0000000e+00 -2.8125000e-01 
+0.0000000e+00 +0.0000000e+00 -3.1250000e-01 
+0.0000000e+00 +0.0000000e+00 -3.4375000e-01 
+0.0000000e+00 +0.0000000e+00 -3.7500000e-01 
+0.0000000e+00 +0.0000000e+00 -4.0625000e-01 
+0.0000000e+00 +0.0000000e+00 -4.3750000e-01 
+0.0000000e+00 +0.0000000e+00 -4.6875000e-01 
+0.0000000e+00 +0.0000000e+00 -5.0000000e-01 
+2.8363826e-02 +0.0000000e+00 -5.0376020e-01 
+5.6727653e-02 +0.0000000e+00 -5.0752040e-01 
+8.5091479e-02 +0.0000000e+00 -5.1128059e-01 
+1.1345531e-01 +0.0000000e+00 -5.1504079e-01 
+1.4181913e-01 +0.0000000e+00 -5.1880099e-01 
+1.7018296e-01 +0.0000000e+00 -5.2256119e-01 
+1.9854678e-01 +0.0000000e+00 -5.2632139e-01 
+2.2691061e-01 +0.0000000e+00 -5.3008158e-01 
+2.5527444e-01 +0.0000000e+00 -5.3384178e-01 
+2.8363826e-01 +0.0000000e+00 -5.3760198e-01 
+3.1200209e-01 +0.0000000e+00 -5.4136218e-01 
+3.4036592e-01 +0.0000000e+00 -5.4512238e-01 
+3.6872974e-01 +0.0000000e+00 -5.4888258e-01 
+3.9709357e-01 +0.0000000e+00 -5.5264277e-01 
+4.2545739e-01 +0.0000000e+00 -5.5640297e-01 
+4.5382122e-01 +0.0000000e+00 -5.6016317e-01 
+4.7691061e-01 +0.0000000e+00 -5.3008158e-01 
+5.0000000e-01 +0.0000000e+00 -5.0000000e-01 
+5.0000000e-01 +1.6666667e-02 -5.0000000e-01 
+5.0000000e-01 +3.3333333e-02 -5.0000000e-01 
+5.0000000e-01 +5.0000000e-02 -5.0000000e-01 
+5.0000000e-01 +6.6666667e-02 -5.0000000e-01 
+5.0000000e-01 +8.3333333e-02 -5.0000000e-01 
+5.0000000e-01 +1.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +1.1666667e-01 -5.0000000e-01 
+5.0000000e-01 +1.3333333e-01 -5.0000000e-01 
+5.0000000e-01 +1.5000000e-01 -5.0000000e-01 
+5.0000000e-01 +1.6666667e-01 -5.0000000e-01 
+5.0000000e-01 +1.8333333e-01 -5.0000000e-01 
+5.0000000e-01 +2.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +2.1666667e-01 -5.0000000e-01 
+5.0000000e-01 +2.3333333e-01 -5.0000000e-01 
+5.0000000e-01 +2.5000000e-01 -5.0000000e-01 
+5.0000000e-01 +2.6666667e-01 -5.0000000e-01 
+5.0000000e-01 +2.8333333e-01 -5.0000000e-01 
+5.0000000e-01 +3.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +3.1666667e-01 -5.0000000e-01 
+5.0000000e-01 +3.3333333e-01 -5.0000000e-01 
+5.0000000e-01 +3.5000000e-01 -5.0000000e-01 
+5.0000000e-01 +3.6666667e-01 -5.0000000e-01 
+5.0000000e-01 +3.8333333e-01 -5.0000000e-01 
+5.0000000e-01 +4.0000000e-01 -5.0000000e-01 
+5.0000000e-01 +4.1666667e-01 -5.0000000e-01 
+5.0000000e-01 +4.3333333e-01 -5.0000000e-01 
+5.0000000e-01 +4.5000000e-01 -5.0000000e-01 
+5.0000000e-01 +4.6666667e-01 -5.0000000e-01 
+5.0000000e-01 +4.8333333e-01 -5.0000000e-01 
+5.0000000e-01 +5.0000000e-01 -5.0000000e-01 
+5.2308939e-01 +5.0000000e-01 -4.6991842e-01 
+5.4617878e-01 +5.0000000e-01 -4.3983683e-01 
+5.4288029e-01 +5.0000000e-01 -4.0841991e-01 
+5.3958181e-01 +5.0000000e-01 -3.7700300e-01 
+5.3628333e-01 +5.0000000e-01 -3.4558608e-01 
+5.3298484e-01 +5.0000000e-01 -3.1416916e-01 
+5.2968636e-01 +5.0000000e-01 -2.8275225e-01 
+5.2638787e-01 +5.0000000e-01 -2.5133533e-01 
+5.2308939e-01 +5.0000000e-01 -2.1991842e-01 
+5.1979091e-01 +5.0000000e-01 -1.8850150e-01 
+5.1649242e-01 +5.0000000e-01 -1.5708458e-01 
+5.1319394e-01 +5.0000000e-01 -1.2566767e-01 
+5.0989545e-01 +5.0000000e-01 -9.4250749e-02 
+5.0659697e-01 +5.0000000e-01 -6.2833833e-02 
+5.0329848e-01 +5.0000000e-01 -3.1416916e-02 
+5.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +4.8333333e-01 +0.0000000e+00 
+5.0000000e-01 +4.6666667e-01 +0.0000000e+00 
+5.0000000e-01 +4.5000000e-01 +0.0000000e+00 
+5.0000000e-01 +4.3333333e-01 +0.0000000e+00 
