# num high symmetry points
13
# label high symmetry points
G L B1 B Z G X Q F P1 Z L P 
# indices high symmetry points
1 35 55 56 94 106 146 147 166 170 203 204 212 
# nk, nb, ns
212 15 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+1.4705882e-02 +0.0000000e+00 +0.0000000e+00 
+2.9411765e-02 +0.0000000e+00 +0.0000000e+00 
+4.4117647e-02 +0.0000000e+00 +0.0000000e+00 
+5.8823529e-02 +0.0000000e+00 +0.0000000e+00 
+7.3529412e-02 +0.0000000e+00 +0.0000000e+00 
+8.8235294e-02 +0.0000000e+00 +0.0000000e+00 
+1.0294118e-01 +0.0000000e+00 +0.0000000e+00 
+1.1764706e-01 +0.0000000e+00 +0.0000000e+00 
+1.3235294e-01 +0.0000000e+00 +0.0000000e+00 
+1.4705882e-01 +0.0000000e+00 +0.0000000e+00 
+1.6176471e-01 +0.0000000e+00 +0.0000000e+00 
+1.7647059e-01 +0.0000000e+00 +0.0000000e+00 
+1.9117647e-01 +0.0000000e+00 +0.0000000e+00 
+2.0588235e-01 +0.0000000e+00 +0.0000000e+00 
+2.2058824e-01 +0.0000000e+00 +0.0000000e+00 
+2.3529412e-01 +0.0000000e+00 +0.0000000e+00 
+2.5000000e-01 +0.0000000e+00 +0.0000000e+00 
+2.6470588e-01 +0.0000000e+00 +0.0000000e+00 
+2.7941176e-01 +0.0000000e+00 +0.0000000e+00 
+2.9411765e-01 +0.0000000e+00 +0.0000000e+00 
+3.0882353e-01 +0.0000000e+00 +0.0000000e+00 
+3.2352941e-01 +0.0000000e+00 +0.0000000e+00 
+3.3823529e-01 +0.0000000e+00 +0.0000000e+00 
+3.5294118e-01 +0.0000000e+00 +0.0000000e+00 
+3.6764706e-01 +0.0000000e+00 +0.0000000e+00 
+3.8235294e-01 +0.0000000e+00 +0.0000000e+00 
+3.9705882e-01 +0.0000000e+00 +0.0000000e+00 
+4.1176471e-01 +0.0000000e+00 +0.0000000e+00 
+4.2647059e-01 +0.0000000e+00 +0.0000000e+00 
+4.4117647e-01 +0.0000000e+00 +0.0000000e+00 
+4.5588235e-01 +0.0000000e+00 +0.0000000e+00 
+4.7058824e-01 +0.0000000e+00 +0.0000000e+00 
+4.8529412e-01 +0.0000000e+00 +0.0000000e+00 
+5.0000000e-01 +0.0000000e+00 +0.0000000e+00 
+5.0000000e-01 +8.7964010e-03 -8.7964010e-03 
+5.0000000e-01 +1.7592802e-02 -1.7592802e-02 
+5.0000000e-01 +2.6389203e-02 -2.6389203e-02 
+5.0000000e-01 +3.5185604e-02 -3.5185604e-02 
+5.0000000e-01 +4.3982005e-02 -4.3982005e-02 
+5.0000000e-01 +5.2778406e-02 -5.2778406e-02 
+5.0000000e-01 +6.1574807e-02 -6.1574807e-02 
+5.0000000e-01 +7.0371208e-02 -7.0371208e-02 
+5.0000000e-01 +7.9167609e-02 -7.9167609e-02 
+5.0000000e-01 +8.7964010e-02 -8.7964010e-02 
+5.0000000e-01 +9.6760411e-02 -9.6760411e-02 
+5.0000000e-01 +1.0555681e-01 -1.0555681e-01 
+5.0000000e-01 +1.1435321e-01 -1.1435321e-01 
+5.0000000e-01 +1.2314961e-01 -1.2314961e-01 
+5.0000000e-01 +1.3194601e-01 -1.3194601e-01 
+5.0000000e-01 +1.4074242e-01 -1.4074242e-01 
+5.0000000e-01 +1.4953882e-01 -1.4953882e-01 
+5.0000000e-01 +1.5833522e-01 -1.5833522e-01 
+5.0000000e-01 +1.6713162e-01 -1.6713162e-01 
+5.0000000e-01 +1.7592802e-01 -1.7592802e-01 
+8.2407198e-01 +5.0000000e-01 +1.7592802e-01 
+8.1554377e-01 +5.0000000e-01 +1.8445623e-01 
+8.0701556e-01 +5.0000000e-01 +1.9298444e-01 
+7.9848735e-01 +5.0000000e-01 +2.0151265e-01 
+7.8995914e-01 +5.0000000e-01 +2.1004086e-01 
+7.8143093e-01 +5.0000000e-01 +2.1856907e-01 
+7.7290272e-01 +5.0000000e-01 +2.2709728e-01 
+7.6437451e-01 +5.0000000e-01 +2.3562549e-01 
+7.5584630e-01 +5.0000000e-01 +2.4415370e-01 
+7.4731809e-01 +5.0000000e-01 +2.5268191e-01 
+7.3878988e-01 +5.0000000e-01 +2.6121012e-01 
+7.3026167e-01 +5.0000000e-01 +2.6973833e-01 
+7.2173346e-01 +5.0000000e-01 +2.7826654e-01 
+7.1320525e-01 +5.0000000e-01 +2.8679475e-01 
+7.0467704e-01 +5.0000000e-01 +2.9532296e-01 
+6.9614883e-01 +5.0000000e-01 +3.0385117e-01 
+6.8762062e-01 +5.0000000e-01 +3.1237938e-01 
+6.7909241e-01 +5.0000000e-01 +3.2090759e-01 
+6.7056420e-01 +5.0000000e-01 +3.2943580e-01 
+6.6203599e-01 +5.0000000e-01 +3.3796401e-01 
+6.5350778e-01 +5.0000000e-01 +3.4649222e-01 
+6.4497957e-01 +5.0000000e-01 +3.5502043e-01 
+6.3645136e-01 +5.0000000e-01 +3.6354864e-01 
+6.2792315e-01 +5.0000000e-01 +3.7207685e-01 
+6.1939494e-01 +5.0000000e-01 +3.8060506e-01 
+6.1086673e-01 +5.0000000e-01 +3.8913327e-01 
+6.0233852e-01 +5.0000000e-01 +3.9766148e-01 
+5.9381031e-01 +5.0000000e-01 +4.0618969e-01 
+5.8528210e-01 +5.0000000e-01 +4.1471790e-01 
+5.7675389e-01 +5.0000000e-01 +4.2324611e-01 
+5.6822568e-01 +5.0000000e-01 +4.3177432e-01 
+5.5969747e-01 +5.0000000e-01 +4.4030253e-01 
+5.5116926e-01 +5.0000000e-01 +4.4883074e-01 
+5.4264105e-01 +5.0000000e-01 +4.5735895e-01 
+5.3411284e-01 +5.0000000e-01 +4.6588716e-01 
+5.2558463e-01 +5.0000000e-01 +4.7441537e-01 
+5.1705642e-01 +5.0000000e-01 +4.8294358e-01 
+5.0852821e-01 +5.0000000e-01 +4.9147179e-01 
+5.0000000e-01 +5.0000000e-01 +5.0000000e-01 
+4.5833333e-01 +4.5833333e-01 +4.5833333e-01 
+4.1666667e-01 +4.1666667e-01 +4.1666667e-01 
+3.7500000e-01 +3.7500000e-01 +3.7500000e-01 
+3.3333333e-01 +3.3333333e-01 +3.3333333e-01 
+2.9166667e-01 +2.9166667e-01 +2.9166667e-01 
+2.5000000e-01 +2.5000000e-01 +2.5000000e-01 
+2.0833333e-01 +2.0833333e-01 +2.0833333e-01 
+1.6666667e-01 +1.6666667e-01 +1.6666667e-01 
+1.2500000e-01 +1.2500000e-01 +1.2500000e-01 
+8.3333333e-02 +8.3333333e-02 +8.3333333e-02 
+4.1666667e-02 +4.1666667e-02 +4.1666667e-02 
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+8.4491002e-03 +0.0000000e+00 -8.4491002e-03 
+1.6898200e-02 +0.0000000e+00 -1.6898200e-02 
+2.5347301e-02 +0.0000000e+00 -2.5347301e-02 
+3.3796401e-02 +0.0000000e+00 -3.3796401e-02 
+4.2245501e-02 +0.0000000e+00 -4.2245501e-02 
+5.0694601e-02 +0.0000000e+00 -5.0694601e-02 
+5.9143702e-02 +0.0000000e+00 -5.9143702e-02 
+6.7592802e-02 +0.0000000e+00 -6.7592802e-02 
+7.6041902e-02 +0.0000000e+00 -7.6041902e-02 
+8.4491002e-02 +0.0000000e+00 -8.4491002e-02 
+9.2940103e-02 +0.0000000e+00 -9.2940103e-02 
+1.0138920e-01 +0.0000000e+00 -1.0138920e-01 
+1.0983830e-01 +0.0000000e+00 -1.0983830e-01 
+1.1828740e-01 +0.0000000e+00 -1.1828740e-01 
+1.2673650e-01 +0.0000000e+00 -1.2673650e-01 
+1.3518560e-01 +0.0000000e+00 -1.3518560e-01 
+1.4363470e-01 +0.0000000e+00 -1.4363470e-01 
+1.5208380e-01 +0.0000000e+00 -1.5208380e-01 
+1.6053290e-01 +0.0000000e+00 -1.6053290e-01 
+1.6898200e-01 +0.0000000e+00 -1.6898200e-01 
+1.7743111e-01 +0.0000000e+00 -1.7743111e-01 
+1.8588021e-01 +0.0000000e+00 -1.8588021e-01 
+1.9432931e-01 +0.0000000e+00 -1.9432931e-01 
+2.0277841e-01 +0.0000000e+00 -2.0277841e-01 
+2.1122751e-01 +0.0000000e+00 -2.1122751e-01 
+2.1967661e-01 +0.0000000e+00 -2.1967661e-01 
+2.2812571e-01 +0.0000000e+00 -2.2812571e-01 
+2.3657481e-01 +0.0000000e+00 -2.3657481e-01 
+2.4502391e-01 +0.0000000e+00 -2.4502391e-01 
+2.5347301e-01 +0.0000000e+00 -2.5347301e-01 
+2.6192211e-01 +0.0000000e+00 -2.6192211e-01 
+2.7037121e-01 +0.0000000e+00 -2.7037121e-01 
+2.7882031e-01 +0.0000000e+00 -2.7882031e-01 
+2.8726941e-01 +0.0000000e+00 -2.8726941e-01 
+2.9571851e-01 +0.0000000e+00 -2.9571851e-01 
+3.0416761e-01 +0.0000000e+00 -3.0416761e-01 
+3.1261671e-01 +0.0000000e+00 -3.1261671e-01 
+3.2106581e-01 +0.0000000e+00 -3.2106581e-01 
+3.2951491e-01 +0.0000000e+00 -3.2951491e-01 
+3.3796401e-01 +0.0000000e+00 -3.3796401e-01 
+6.6203599e-01 +3.3796401e-01 +0.0000000e+00 
+6.5350778e-01 +3.4649222e-01 +0.0000000e+00 
+6.4497957e-01 +3.5502043e-01 +0.0000000e+00 
+6.3645136e-01 +3.6354864e-01 +0.0000000e+00 
+6.2792315e-01 +3.7207685e-01 +0.0000000e+00 
+6.1939494e-01 +3.8060506e-01 +0.0000000e+00 
+6.1086673e-01 +3.8913327e-01 +0.0000000e+00 
+6.0233852e-01 +3.9766148e-01 +0.0000000e+00 
+5.9381031e-01 +4.0618969e-01 +0.0000000e+00 
+5.8528210e-01 +4.1471790e-01 +0.0000000e+00 
+5.7675389e-01 +4.2324611e-01 +0.0000000e+00 
+5.6822568e-01 +4.3177432e-01 +0.0000000e+00 
+5.5969747e-01 +4.4030253e-01 +0.0000000e+00 
+5.5116926e-01 +4.4883074e-01 +0.0000000e+00 
+5.4264105e-01 +4.5735895e-01 +0.0000000e+00 
+5.3411284e-01 +4.6588716e-01 +0.0000000e+00 
+5.2558463e-01 +4.7441537e-01 +0.0000000e+00 
+5.1705642e-01 +4.8294358e-01 +0.0000000e+00 
+5.0852821e-01 +4.9147179e-01 +0.0000000e+00 
+5.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+5.4050900e-01 +5.4050900e-01 +4.3982005e-02 
+5.8101800e-01 +5.8101800e-01 +8.7964010e-02 
+6.2152699e-01 +6.2152699e-01 +1.3194601e-01 
+6.6203599e-01 +6.6203599e-01 +1.7592802e-01 
+6.5712581e-01 +6.5712581e-01 +1.8574838e-01 
+6.5221563e-01 +6.5221563e-01 +1.9556875e-01 
+6.4730545e-01 +6.4730545e-01 +2.0538911e-01 
+6.4239526e-01 +6.4239526e-01 +2.1520947e-01 
+6.3748508e-01 +6.3748508e-01 +2.2502983e-01 
+6.3257490e-01 +6.3257490e-01 +2.3485020e-01 
+6.2766472e-01 +6.2766472e-01 +2.4467056e-01 
+6.2275454e-01 +6.2275454e-01 +2.5449092e-01 
+6.1784436e-01 +6.1784436e-01 +2.6431129e-01 
+6.1293418e-01 +6.1293418e-01 +2.7413165e-01 
+6.0802399e-01 +6.0802399e-01 +2.8395201e-01 
+6.0311381e-01 +6.0311381e-01 +2.9377238e-01 
+5.9820363e-01 +5.9820363e-01 +3.0359274e-01 
+5.9329345e-01 +5.9329345e-01 +3.1341310e-01 
+5.8838327e-01 +5.8838327e-01 +3.2323347e-01 
+5.8347309e-01 +5.8347309e-01 +3.3305383e-01 
+5.7856290e-01 +5.7856290e-01 +3.4287419e-01 
+5.7365272e-01 +5.7365272e-01 +3.5269455e-01 
+5.6874254e-01 +5.6874254e-01 +3.6251492e-01 
+5.6383236e-01 +5.6383236e-01 +3.7233528e-01 
+5.5892218e-01 +5.5892218e-01 +3.8215564e-01 
+5.5401200e-01 +5.5401200e-01 +3.9197601e-01 
+5.4910182e-01 +5.4910182e-01 +4.0179637e-01 
+5.4419163e-01 +5.4419163e-01 +4.1161673e-01 
+5.3928145e-01 +5.3928145e-01 +4.2143710e-01 
+5.3437127e-01 +5.3437127e-01 +4.3125746e-01 
+5.2946109e-01 +5.2946109e-01 +4.4107782e-01 
+5.2455091e-01 +5.2455091e-01 +4.5089818e-01 
+5.1964073e-01 +5.1964073e-01 +4.6071855e-01 
+5.1473054e-01 +5.1473054e-01 +4.7053891e-01 
+5.0982036e-01 +5.0982036e-01 +4.8035927e-01 
+5.0491018e-01 +5.0491018e-01 +4.9017964e-01 
+5.0000000e-01 +5.0000000e-01 +5.0000000e-01 
+5.0000000e-01 +0.0000000e+00 +0.0000000e+00 
+5.4050900e-01 +4.2245501e-02 +4.2245501e-02 
+5.8101800e-01 +8.4491002e-02 +8.4491002e-02 
+6.2152699e-01 +1.2673650e-01 +1.2673650e-01 
+6.6203599e-01 +1.6898200e-01 +1.6898200e-01 
+7.0254499e-01 +2.1122751e-01 +2.1122751e-01 
+7.4305399e-01 +2.5347301e-01 +2.5347301e-01 
+7.8356298e-01 +2.9571851e-01 +2.9571851e-01 
+8.2407198e-01 +3.3796401e-01 +3.3796401e-01 
# energies (kpt,band,spin)
# spin = 1
-5.2664653e+01 -5.2663100e+01 -5.2662539e+01 -2.5198079e+01 -2.5197189e+01 -2.5179317e+01 -2.5179317e+01 -2.5178345e+01 -2.5178345e+01 -2.5175362e+01 -2.5175362e+01 -2.5175172e+01 -3.7587418e+00 -1.8023095e+00 -1.8005025e+00 
-5.2664650e+01 -5.2663098e+01 -5.2662536e+01 -2.5198087e+01 -2.5197176e+01 -2.5179355e+01 -2.5179329e+01 -2.5178379e+01 -2.5178357e+01 -2.5175418e+01 -2.5175371e+01 -2.5175181e+01 -3.7553967e+00 -1.8186905e+00 -1.7770770e+00 
-5.2664640e+01 -5.2663092e+01 -5.2662530e+01 -2.5198111e+01 -2.5197137e+01 -2.5179468e+01 -2.5179363e+01 -2.5178480e+01 -2.5178391e+01 -2.5175589e+01 -2.5175399e+01 -2.5175207e+01 -3.7453617e+00 -1.8289174e+00 -1.7457063e+00 
-5.2664623e+01 -5.2663081e+01 -5.2662519e+01 -2.5198144e+01 -2.5197080e+01 -2.5179656e+01 -2.5179421e+01 -2.5178647e+01 -2.5178448e+01 -2.5175872e+01 -2.5175445e+01 -2.5175249e+01 -3.7286383e+00 -1.8321292e+00 -1.7072195e+00 
-5.2664601e+01 -5.2663065e+01 -5.2662504e+01 -2.5198183e+01 -2.5197011e+01 -2.5179916e+01 -2.5179500e+01 -2.5178875e+01 -2.5178527e+01 -2.5176264e+01 -2.5175509e+01 -2.5175308e+01 -3.7052282e+00 -1.8283183e+00 -1.6615690e+00 
-5.2664572e+01 -5.2663046e+01 -5.2662484e+01 -2.5198222e+01 -2.5196939e+01 -2.5180245e+01 -2.5179601e+01 -2.5179160e+01 -2.5178628e+01 -2.5176760e+01 -2.5175591e+01 -2.5175383e+01 -3.6751339e+00 -1.8174714e+00 -1.6086866e+00 
-5.2664537e+01 -5.2663022e+01 -5.2662461e+01 -2.5198259e+01 -2.5196869e+01 -2.5180641e+01 -2.5179723e+01 -2.5179496e+01 -2.5178749e+01 -2.5177353e+01 -2.5175689e+01 -2.5175474e+01 -3.6383576e+00 -1.7995659e+00 -1.5484830e+00 
-5.2664496e+01 -5.2662994e+01 -5.2662434e+01 -2.5198292e+01 -2.5196808e+01 -2.5181100e+01 -2.5179877e+01 -2.5179864e+01 -2.5178889e+01 -2.5178037e+01 -2.5175804e+01 -2.5175581e+01 -3.5949006e+00 -1.7745674e+00 -1.4808432e+00 
-5.2664449e+01 -5.2662963e+01 -5.2662403e+01 -2.5198320e+01 -2.5196762e+01 -2.5181620e+01 -2.5180292e+01 -2.5180024e+01 -2.5179048e+01 -2.5178799e+01 -2.5175933e+01 -2.5175703e+01 -3.5447630e+00 -1.7424284e+00 -1.4056206e+00 
-5.2664398e+01 -5.2662927e+01 -5.2662370e+01 -2.5198345e+01 -2.5196737e+01 -2.5182198e+01 -2.5180735e+01 -2.5180201e+01 -2.5179627e+01 -2.5179224e+01 -2.5176077e+01 -2.5175841e+01 -3.4879419e+00 -1.7030852e+00 -1.3226286e+00 
-5.2664342e+01 -5.2662888e+01 -5.2662333e+01 -2.5198366e+01 -2.5196740e+01 -2.5182836e+01 -2.5181196e+01 -2.5180499e+01 -2.5180393e+01 -2.5179415e+01 -2.5176233e+01 -2.5175993e+01 -3.4244307e+00 -1.6564548e+00 -1.2316309e+00 
-5.2664281e+01 -5.2662846e+01 -5.2662294e+01 -2.5198385e+01 -2.5196775e+01 -2.5183538e+01 -2.5181685e+01 -2.5181371e+01 -2.5180598e+01 -2.5179620e+01 -2.5176401e+01 -2.5176159e+01 -3.3542166e+00 -1.6024298e+00 -1.1323289e+00 
-5.2664216e+01 -5.2662801e+01 -5.2662252e+01 -2.5198403e+01 -2.5196848e+01 -2.5184318e+01 -2.5182368e+01 -2.5182033e+01 -2.5180816e+01 -2.5179837e+01 -2.5176579e+01 -2.5176338e+01 -3.2772788e+00 -1.5408736e+00 -1.0243463e+00 
-5.2664148e+01 -5.2662753e+01 -5.2662209e+01 -2.5198422e+01 -2.5196963e+01 -2.5185188e+01 -2.5183195e+01 -2.5182490e+01 -2.5181043e+01 -2.5180064e+01 -2.5176765e+01 -2.5176531e+01 -3.1935852e+00 -1.4716125e+00 -9.0721077e-01 
-5.2664077e+01 -5.2662702e+01 -5.2662165e+01 -2.5198445e+01 -2.5197120e+01 -2.5186154e+01 -2.5183973e+01 -2.5182898e+01 -2.5181279e+01 -2.5180300e+01 -2.5176959e+01 -2.5176735e+01 -3.1030886e+00 -1.3944277e+00 -7.8033446e-01 
-5.2664003e+01 -5.2662650e+01 -5.2662120e+01 -2.5198472e+01 -2.5197319e+01 -2.5187203e+01 -2.5184677e+01 -2.5183265e+01 -2.5181520e+01 -2.5180542e+01 -2.5177158e+01 -2.5176951e+01 -3.0057223e+00 -1.3090446e+00 -6.4299287e-01 
-5.2663928e+01 -5.2662595e+01 -5.2662075e+01 -2.5198508e+01 -2.5197550e+01 -2.5188310e+01 -2.5185304e+01 -2.5183588e+01 -2.5181766e+01 -2.5180788e+01 -2.5177361e+01 -2.5177177e+01 -2.9013932e+00 -1.2151209e+00 -4.9430855e-01 
-5.2663851e+01 -5.2662540e+01 -5.2662030e+01 -2.5198562e+01 -2.5197796e+01 -2.5189450e+01 -2.5185860e+01 -2.5183866e+01 -2.5182013e+01 -2.5181036e+01 -2.5177566e+01 -2.5177412e+01 -2.7899752e+00 -1.1122329e+00 -3.3324702e-01 
-5.2663775e+01 -5.2662483e+01 -5.2661986e+01 -2.5198658e+01 -2.5198017e+01 -2.5190600e+01 -2.5186345e+01 -2.5184098e+01 -2.5182260e+01 -2.5181284e+01 -2.5177771e+01 -2.5177655e+01 -2.6712992e+00 -9.9986131e-01 -1.5864121e-01 
-5.2663699e+01 -5.2662427e+01 -5.2661945e+01 -2.5198836e+01 -2.5198155e+01 -2.5191740e+01 -2.5186761e+01 -2.5184287e+01 -2.5182505e+01 -2.5181530e+01 -2.5177975e+01 -2.5177905e+01 -2.5451430e+00 -8.7737906e-01 +3.0727579e-02 
-5.2663624e+01 -5.2662370e+01 -5.2661905e+01 -2.5199090e+01 -2.5198188e+01 -2.5192853e+01 -2.5187109e+01 -2.5184437e+01 -2.5182745e+01 -2.5181772e+01 -2.5178175e+01 -2.5178159e+01 -2.4112186e+00 -7.4404358e-01 +2.3594596e-01 
