# num high symmetry points
18
# label high symmetry points
G Y H C E M1 A X G Z D M Z A D Y X H1 
# indices high symmetry points
1 27 46 58 83 95 111 136 164 189 215 234 235 263 264 289 290 306 
# nk, nb, ns
306 20 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 +1.9230769e-02 
+0.0000000e+00 +0.0000000e+00 +3.8461538e-02 
+0.0000000e+00 +0.0000000e+00 +5.7692308e-02 
+0.0000000e+00 +0.0000000e+00 +7.6923077e-02 
+0.0000000e+00 +0.0000000e+00 +9.6153846e-02 
+0.0000000e+00 +0.0000000e+00 +1.1538462e-01 
+0.0000000e+00 +0.0000000e+00 +1.3461538e-01 
+0.0000000e+00 +0.0000000e+00 +1.5384615e-01 
+0.0000000e+00 +0.0000000e+00 +1.7307692e-01 
+0.0000000e+00 +0.0000000e+00 +1.9230769e-01 
+0.0000000e+00 +0.0000000e+00 +2.1153846e-01 
+0.0000000e+00 +0.0000000e+00 +2.3076923e-01 
+0.0000000e+00 +0.0000000e+00 +2.5000000e-01 
+0.0000000e+00 +0.0000000e+00 +2.6923077e-01 
+0.0000000e+00 +0.0000000e+00 +2.8846154e-01 
+0.0000000e+00 +0.0000000e+00 +3.0769231e-01 
+0.0000000e+00 +0.0000000e+00 +3.2692308e-01 
+0.0000000e+00 +0.0000000e+00 +3.4615385e-01 
+0.0000000e+00 +0.0000000e+00 +3.6538462e-01 
+0.0000000e+00 +0.0000000e+00 +3.8461538e-01 
+0.0000000e+00 +0.0000000e+00 +4.0384615e-01 
+0.0000000e+00 +0.0000000e+00 +4.2307692e-01 
+0.0000000e+00 +0.0000000e+00 +4.4230769e-01 
+0.0000000e+00 +0.0000000e+00 +4.6153846e-01 
+0.0000000e+00 +0.0000000e+00 +4.8076923e-01 
+0.0000000e+00 +0.0000000e+00 +5.0000000e-01 
+1.9670026e-02 +0.0000000e+00 +5.0831936e-01 
+3.9340051e-02 +0.0000000e+00 +5.1663872e-01 
+5.9010077e-02 +0.0000000e+00 +5.2495808e-01 
+7.8680102e-02 +0.0000000e+00 +5.3327743e-01 
+9.8350128e-02 +0.0000000e+00 +5.4159679e-01 
+1.1802015e-01 +0.0000000e+00 +5.4991615e-01 
+1.3769018e-01 +0.0000000e+00 +5.5823551e-01 
+1.5736020e-01 +0.0000000e+00 +5.6655487e-01 
+1.7703023e-01 +0.0000000e+00 +5.7487423e-01 
+1.9670026e-01 +0.0000000e+00 +5.8319359e-01 
+2.1637028e-01 +0.0000000e+00 +5.9151294e-01 
+2.3604031e-01 +0.0000000e+00 +5.9983230e-01 
+2.5571033e-01 +0.0000000e+00 +6.0815166e-01 
+2.7538036e-01 +0.0000000e+00 +6.1647102e-01 
+2.9505038e-01 +0.0000000e+00 +6.2479038e-01 
+3.1472041e-01 +0.0000000e+00 +6.3310974e-01 
+3.3439043e-01 +0.0000000e+00 +6.4142910e-01 
+3.5406046e-01 +0.0000000e+00 +6.4974846e-01 
+3.7373048e-01 +0.0000000e+00 +6.5806781e-01 
+3.8425294e-01 +0.0000000e+00 +6.4489550e-01 
+3.9477540e-01 +0.0000000e+00 +6.3172318e-01 
+4.0529786e-01 +0.0000000e+00 +6.1855086e-01 
+4.1582032e-01 +0.0000000e+00 +6.0537854e-01 
+4.2634278e-01 +0.0000000e+00 +5.9220622e-01 
+4.3686524e-01 +0.0000000e+00 +5.7903391e-01 
+4.4738770e-01 +0.0000000e+00 +5.6586159e-01 
+4.5791016e-01 +0.0000000e+00 +5.5268927e-01 
+4.6843262e-01 +0.0000000e+00 +5.3951695e-01 
+4.7895508e-01 +0.0000000e+00 +5.2634464e-01 
+4.8947754e-01 +0.0000000e+00 +5.1317232e-01 
+5.0000000e-01 +0.0000000e+00 +5.0000000e-01 
+5.0000000e-01 -2.0000000e-02 +5.0000000e-01 
+5.0000000e-01 -4.0000000e-02 +5.0000000e-01 
+5.0000000e-01 -6.0000000e-02 +5.0000000e-01 
+5.0000000e-01 -8.0000000e-02 +5.0000000e-01 
+5.0000000e-01 -1.0000000e-01 +5.0000000e-01 
+5.0000000e-01 -1.2000000e-01 +5.0000000e-01 
+5.0000000e-01 -1.4000000e-01 +5.0000000e-01 
+5.0000000e-01 -1.6000000e-01 +5.0000000e-01 
+5.0000000e-01 -1.8000000e-01 +5.0000000e-01 
+5.0000000e-01 -2.0000000e-01 +5.0000000e-01 
+5.0000000e-01 -2.2000000e-01 +5.0000000e-01 
+5.0000000e-01 -2.4000000e-01 +5.0000000e-01 
+5.0000000e-01 -2.6000000e-01 +5.0000000e-01 
+5.0000000e-01 -2.8000000e-01 +5.0000000e-01 
+5.0000000e-01 -3.0000000e-01 +5.0000000e-01 
+5.0000000e-01 -3.2000000e-01 +5.0000000e-01 
+5.0000000e-01 -3.4000000e-01 +5.0000000e-01 
+5.0000000e-01 -3.6000000e-01 +5.0000000e-01 
+5.0000000e-01 -3.8000000e-01 +5.0000000e-01 
+5.0000000e-01 -4.0000000e-01 +5.0000000e-01 
+5.0000000e-01 -4.2000000e-01 +5.0000000e-01 
+5.0000000e-01 -4.4000000e-01 +5.0000000e-01 
+5.0000000e-01 -4.6000000e-01 +5.0000000e-01 
+5.0000000e-01 -4.8000000e-01 +5.0000000e-01 
+5.0000000e-01 -5.0000000e-01 +5.0000000e-01 
+5.1052246e-01 -5.0000000e-01 +4.8682768e-01 
+5.2104492e-01 -5.0000000e-01 +4.7365536e-01 
+5.3156738e-01 -5.0000000e-01 +4.6048305e-01 
+5.4208984e-01 -5.0000000e-01 +4.4731073e-01 
+5.5261230e-01 -5.0000000e-01 +4.3413841e-01 
+5.6313476e-01 -5.0000000e-01 +4.2096609e-01 
+5.7365722e-01 -5.0000000e-01 +4.0779378e-01 
+5.8417968e-01 -5.0000000e-01 +3.9462146e-01 
+5.9470214e-01 -5.0000000e-01 +3.8144914e-01 
+6.0522460e-01 -5.0000000e-01 +3.6827682e-01 
+6.1574706e-01 -5.0000000e-01 +3.5510450e-01 
+6.2626952e-01 -5.0000000e-01 +3.4193219e-01 
+6.1837767e-01 -5.0000000e-01 +3.2056142e-01 
+6.1048583e-01 -5.0000000e-01 +2.9919066e-01 
+6.0259398e-01 -5.0000000e-01 +2.7781990e-01 
+5.9470214e-01 -5.0000000e-01 +2.5644914e-01 
+5.8681029e-01 -5.0000000e-01 +2.3507838e-01 
+5.7891845e-01 -5.0000000e-01 +2.1370762e-01 
+5.7102660e-01 -5.0000000e-01 +1.9233685e-01 
+5.6313476e-01 -5.0000000e-01 +1.7096609e-01 
+5.5524291e-01 -5.0000000e-01 +1.4959533e-01 
+5.4735107e-01 -5.0000000e-01 +1.2822457e-01 
+5.3945922e-01 -5.0000000e-01 +1.0685381e-01 
+5.3156738e-01 -5.0000000e-01 +8.5483047e-02 
+5.2367553e-01 -5.0000000e-01 +6.4112285e-02 
+5.1578369e-01 -5.0000000e-01 +4.2741523e-02 
+5.0789184e-01 -5.0000000e-01 +2.1370762e-02 
+5.0000000e-01 -5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 -4.8000000e-01 +0.0000000e+00 
+5.0000000e-01 -4.6000000e-01 +0.0000000e+00 
+5.0000000e-01 -4.4000000e-01 +0.0000000e+00 
+5.0000000e-01 -4.2000000e-01 +0.0000000e+00 
+5.0000000e-01 -4.0000000e-01 +0.0000000e+00 
+5.0000000e-01 -3.8000000e-01 +0.0000000e+00 
+5.0000000e-01 -3.6000000e-01 +0.0000000e+00 
+5.0000000e-01 -3.4000000e-01 +0.0000000e+00 
+5.0000000e-01 -3.2000000e-01 +0.0000000e+00 
+5.0000000e-01 -3.0000000e-01 +0.0000000e+00 
+5.0000000e-01 -2.8000000e-01 +0.0000000e+00 
+5.0000000e-01 -2.6000000e-01 +0.0000000e+00 
+5.0000000e-01 -2.4000000e-01 +0.0000000e+00 
+5.0000000e-01 -2.2000000e-01 +0.0000000e+00 
+5.0000000e-01 -2.0000000e-01 +0.0000000e+00 
+5.0000000e-01 -1.8000000e-01 +0.0000000e+00 
+5.0000000e-01 -1.6000000e-01 +0.0000000e+00 
+5.0000000e-01 -1.4000000e-01 +0.0000000e+00 
+5.0000000e-01 -1.2000000e-01 +0.0000000e+00 
+5.0000000e-01 -1.0000000e-01 +0.0000000e+00 
+5.0000000e-01 -8.0000000e-02 +0.0000000e+00 
+5.0000000e-01 -6.0000000e-02 +0.0000000e+00 
+5.0000000e-01 -4.0000000e-02 +0.0000000e+00 
+5.0000000e-01 -2.0000000e-02 +0.0000000e+00 
+5.0000000e-01 +0.0000000e+00 +0.0000000e+00 
+4.8214286e-01 +0.0000000e+00 +0.0000000e+00 
+4.6428571e-01 +0.0000000e+00 +0.0000000e+00 
+4.4642857e-01 +0.0000000e+00 +0.0000000e+00 
+4.2857143e-01 +0.0000000e+00 +0.0000000e+00 
+4.1071429e-01 +0.0000000e+00 +0.0000000e+00 
+3.9285714e-01 +0.0000000e+00 +0.0000000e+00 
+3.7500000e-01 +0.0000000e+00 +0.0000000e+00 
+3.5714286e-01 +0.0000000e+00 +0.0000000e+00 
+3.3928571e-01 +0.0000000e+00 +0.0000000e+00 
+3.2142857e-01 +0.0000000e+00 +0.0000000e+00 
+3.0357143e-01 +0.0000000e+00 +0.0000000e+00 
+2.8571429e-01 +0.0000000e+00 +0.0000000e+00 
+2.6785714e-01 +0.0000000e+00 +0.0000000e+00 
+2.5000000e-01 +0.0000000e+00 +0.0000000e+00 
+2.3214286e-01 +0.0000000e+00 +0.0000000e+00 
+2.1428571e-01 +0.0000000e+00 +0.0000000e+00 
+1.9642857e-01 +0.0000000e+00 +0.0000000e+00 
+1.7857143e-01 +0.0000000e+00 +0.0000000e+00 
+1.6071429e-01 +0.0000000e+00 +0.0000000e+00 
+1.4285714e-01 +0.0000000e+00 +0.0000000e+00 
+1.2500000e-01 +0.0000000e+00 +0.0000000e+00 
+1.0714286e-01 +0.0000000e+00 +0.0000000e+00 
+8.9285714e-02 +0.0000000e+00 +0.0000000e+00 
+7.1428571e-02 +0.0000000e+00 +0.0000000e+00 
+5.3571429e-02 +0.0000000e+00 +0.0000000e+00 
+3.5714286e-02 +0.0000000e+00 +0.0000000e+00 
+1.7857143e-02 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 -2.0000000e-02 +0.0000000e+00 
+0.0000000e+00 -4.0000000e-02 +0.0000000e+00 
+0.0000000e+00 -6.0000000e-02 +0.0000000e+00 
+0.0000000e+00 -8.0000000e-02 +0.0000000e+00 
+0.0000000e+00 -1.0000000e-01 +0.0000000e+00 
+0.0000000e+00 -1.2000000e-01 +0.0000000e+00 
+0.0000000e+00 -1.4000000e-01 +0.0000000e+00 
+0.0000000e+00 -1.6000000e-01 +0.0000000e+00 
+0.0000000e+00 -1.8000000e-01 +0.0000000e+00 
+0.0000000e+00 -2.0000000e-01 +0.0000000e+00 
+0.0000000e+00 -2.2000000e-01 +0.0000000e+00 
+0.0000000e+00 -2.4000000e-01 +0.0000000e+00 
+0.0000000e+00 -2.6000000e-01 +0.0000000e+00 
+0.0000000e+00 -2.8000000e-01 +0.0000000e+00 
+0.0000000e+00 -3.0000000e-01 +0.0000000e+00 
+0.0000000e+00 -3.2000000e-01 +0.0000000e+00 
+0.0000000e+00 -3.4000000e-01 +0.0000000e+00 
+0.0000000e+00 -3.6000000e-01 +0.0000000e+00 
+0.0000000e+00 -3.8000000e-01 +0.0000000e+00 
+0.0000000e+00 -4.0000000e-01 +0.0000000e+00 
+0.0000000e+00 -4.2000000e-01 +0.0000000e+00 
+0.0000000e+00 -4.4000000e-01 +0.0000000e+00 
+0.0000000e+00 -4.6000000e-01 +0.0000000e+00 
+0.0000000e+00 -4.8000000e-01 +0.0000000e+00 
+0.0000000e+00 -5.0000000e-01 +0.0000000e+00 
+0.0000000e+00 -5.0000000e-01 +1.9230769e-02 
+0.0000000e+00 -5.0000000e-01 +3.8461538e-02 
+0.0000000e+00 -5.0000000e-01 +5.7692308e-02 
+0.0000000e+00 -5.0000000e-01 +7.6923077e-02 
+0.0000000e+00 -5.0000000e-01 +9.6153846e-02 
+0.0000000e+00 -5.0000000e-01 +1.1538462e-01 
+0.0000000e+00 -5.0000000e-01 +1.3461538e-01 
+0.0000000e+00 -5.0000000e-01 +1.5384615e-01 
+0.0000000e+00 -5.0000000e-01 +1.7307692e-01 
+0.0000000e+00 -5.0000000e-01 +1.9230769e-01 
+0.0000000e+00 -5.0000000e-01 +2.1153846e-01 
+0.0000000e+00 -5.0000000e-01 +2.3076923e-01 
+0.0000000e+00 -5.0000000e-01 +2.5000000e-01 
+0.0000000e+00 -5.0000000e-01 +2.6923077e-01 
+0.0000000e+00 -5.0000000e-01 +2.8846154e-01 
+0.0000000e+00 -5.0000000e-01 +3.0769231e-01 
+0.0000000e+00 -5.0000000e-01 +3.2692308e-01 
+0.0000000e+00 -5.0000000e-01 +3.4615385e-01 
+0.0000000e+00 -5.0000000e-01 +3.6538462e-01 
+0.0000000e+00 -5.0000000e-01 +3.8461538e-01 
+0.0000000e+00 -5.0000000e-01 +4.0384615e-01 
+0.0000000e+00 -5.0000000e-01 +4.2307692e-01 
+0.0000000e+00 -5.0000000e-01 +4.4230769e-01 
+0.0000000e+00 -5.0000000e-01 +4.6153846e-01 
+0.0000000e+00 -5.0000000e-01 +4.8076923e-01 
+0.0000000e+00 -5.0000000e-01 +5.0000000e-01 
+1.9670026e-02 -5.0000000e-01 +5.0831936e-01 
+3.9340051e-02 -5.0000000e-01 +5.1663872e-01 
+5.9010077e-02 -5.0000000e-01 +5.2495808e-01 
+7.8680102e-02 -5.0000000e-01 +5.3327743e-01 
+9.8350128e-02 -5.0000000e-01 +5.4159679e-01 
+1.1802015e-01 -5.0000000e-01 +5.4991615e-01 
+1.3769018e-01 -5.0000000e-01 +5.5823551e-01 
+1.5736020e-01 -5.0000000e-01 +5.6655487e-01 
+1.7703023e-01 -5.0000000e-01 +5.7487423e-01 
+1.9670026e-01 -5.0000000e-01 +5.8319359e-01 
+2.1637028e-01 -5.0000000e-01 +5.9151294e-01 
+2.3604031e-01 -5.0000000e-01 +5.9983230e-01 
+2.5571033e-01 -5.0000000e-01 +6.0815166e-01 
+2.7538036e-01 -5.0000000e-01 +6.1647102e-01 
+2.9505038e-01 -5.0000000e-01 +6.2479038e-01 
+3.1472041e-01 -5.0000000e-01 +6.3310974e-01 
+3.3439043e-01 -5.0000000e-01 +6.4142910e-01 
+3.5406046e-01 -5.0000000e-01 +6.4974846e-01 
+3.7373048e-01 -5.0000000e-01 +6.5806781e-01 
+0.0000000e+00 -5.0000000e-01 +0.0000000e+00 
+1.7857143e-02 -5.0000000e-01 +0.0000000e+00 
+3.5714286e-02 -5.0000000e-01 +0.0000000e+00 
+5.3571429e-02 -5.0000000e-01 +0.0000000e+00 
+7.1428571e-02 -5.0000000e-01 +0.0000000e+00 
+8.9285714e-02 -5.0000000e-01 +0.0000000e+00 
+1.0714286e-01 -5.0000000e-01 +0.0000000e+00 
+1.2500000e-01 -5.0000000e-01 +0.0000000e+00 
+1.4285714e-01 -5.0000000e-01 +0.0000000e+00 
+1.6071429e-01 -5.0000000e-01 +0.0000000e+00 
+1.7857143e-01 -5.0000000e-01 +0.0000000e+00 
+1.9642857e-01 -5.0000000e-01 +0.0000000e+00 
+2.1428571e-01 -5.0000000e-01 +0.0000000e+00 
+2.3214286e-01 -5.0000000e-01 +0.0000000e+00 
+2.5000000e-01 -5.0000000e-01 +0.0000000e+00 
+2.6785714e-01 -5.0000000e-01 +0.0000000e+00 
+2.8571429e-01 -5.0000000e-01 +0.0000000e+00 
+3.0357143e-01 -5.0000000e-01 +0.0000000e+00 
+3.2142857e-01 -5.0000000e-01 +0.0000000e+00 
+3.3928571e-01 -5.0000000e-01 +0.0000000e+00 
+3.5714286e-01 -5.0000000e-01 +0.0000000e+00 
+3.7500000e-01 -5.0000000e-01 +0.0000000e+00 
+3.9285714e-01 -5.0000000e-01 +0.0000000e+00 
+4.1071429e-01 -5.0000000e-01 +0.0000000e+00 
+4.2857143e-01 -5.0000000e-01 +0.0000000e+00 
+4.4642857e-01 -5.0000000e-01 +0.0000000e+00 
+4.6428571e-01 -5.0000000e-01 +0.0000000e+00 
+4.8214286e-01 -5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 -5.0000000e-01 +0.0000000e+00 
+0.0000000e+00 -5.0000000e-01 +5.0000000e-01 
+0.0000000e+00 -4.8000000e-01 +5.0000000e-01 
+0.0000000e+00 -4.6000000e-01 +5.0000000e-01 
+0.0000000e+00 -4.4000000e-01 +5.0000000e-01 
+0.0000000e+00 -4.2000000e-01 +5.0000000e-01 
+0.0000000e+00 -4.0000000e-01 +5.0000000e-01 
+0.0000000e+00 -3.8000000e-01 +5.0000000e-01 
+0.0000000e+00 -3.6000000e-01 +5.0000000e-01 
+0.0000000e+00 -3.4000000e-01 +5.0000000e-01 
+0.0000000e+00 -3.2000000e-01 +5.0000000e-01 
+0.0000000e+00 -3.0000000e-01 +5.0000000e-01 
+0.0000000e+00 -2.8000000e-01 +5.0000000e-01 
+0.0000000e+00 -2.6000000e-01 +5.0000000e-01 
+0.0000000e+00 -2.4000000e-01 +5.0000000e-01 
+0.0000000e+00 -2.2000000e-01 +5.0000000e-01 
+0.0000000e+00 -2.0000000e-01 +5.0000000e-01 
+0.0000000e+00 -1.8000000e-01 +5.0000000e-01 
+0.0000000e+00 -1.6000000e-01 +5.0000000e-01 
+0.0000000e+00 -1.4000000e-01 +5.0000000e-01 
+0.0000000e+00 -1.2000000e-01 +5.0000000e-01 
+0.0000000e+00 -1.0000000e-01 +5.0000000e-01 
+0.0000000e+00 -8.0000000e-02 +5.0000000e-01 
+0.0000000e+00 -6.0000000e-02 +5.0000000e-01 
+0.0000000e+00 -4.0000000e-02 +5.0000000e-01 
+0.0000000e+00 -2.0000000e-02 +5.0000000e-01 
+0.0000000e+00 +0.0000000e+00 +5.0000000e-01 
+5.0000000e-01 +0.0000000e+00 +0.0000000e+00 
+5.0789184e-01 +0.0000000e+00 +2.1370762e-02 
+5.1578369e-01 +0.0000000e+00 +4.2741523e-02 
+5.2367553e-01 +0.0000000e+00 +6.4112285e-02 
+5.3156738e-01 +0.0000000e+00 +8.5483047e-02 
+5.3945922e-01 +0.0000000e+00 +1.0685381e-01 
+5.4735107e-01 +0.0000000e+00 +1.2822457e-01 
+5.5524291e-01 +0.0000000e+00 +1.4959533e-01 
+5.6313476e-01 +0.0000000e+00 +1.7096609e-01 
+5.7102660e-01 +0.0000000e+00 +1.9233685e-01 
+5.7891845e-01 +0.0000000e+00 +2.1370762e-01 
+5.8681029e-01 +0.0000000e+00 +2.3507838e-01 
+5.9470214e-01 +0.0000000e+00 +2.5644914e-01 
+6.0259398e-01 +0.0000000e+00 +2.7781990e-01 
+6.1048583e-01 +0.0000000e+00 +2.9919066e-01 
+6.1837767e-01 +0.0000000e+00 +3.2056142e-01 
+6.2626952e-01 +0.0000000e+00 +3.4193219e-01 
# energies (kpt,band,spin)
# spin = 1
-2.5974788e+01 -2.5745036e+01 -1.3645625e+01 -1.3333046e+01 -7.5722586e+00 -7.0660296e+00 -6.9998183e+00 -6.8778279e+00 -6.0420115e+00 -6.0409916e+00 -4.6548880e-01 -2.3880017e-01 +3.8359847e-01 +3.8657724e-01 +6.2195692e+00 +9.3335815e+00 +9.7484453e+00 +9.8052576e+00 +1.0934059e+01 +1.3775201e+01 
-2.5974755e+01 -2.5745033e+01 -1.3646362e+01 -1.3333094e+01 -7.5705050e+00 -7.0657924e+00 -7.0001513e+00 -6.8776041e+00 -6.0420964e+00 -6.0410832e+00 -4.6471988e-01 -2.3969871e-01 +3.8388500e-01 +3.8684239e-01 +6.2183433e+00 +9.3220173e+00 +9.7629581e+00 +9.7936834e+00 +1.0925866e+01 +1.3804949e+01 
-2.5974655e+01 -2.5745027e+01 -1.3648559e+01 -1.3333235e+01 -7.5652691e+00 -7.0650843e+00 -7.0011357e+00 -6.8769455e+00 -6.0423499e+00 -6.0413568e+00 -4.6242346e-01 -2.4238054e-01 +3.8474047e-01 +3.8763399e-01 +6.2146912e+00 +9.2916752e+00 +9.7586019e+00 +9.8020227e+00 +1.0903954e+01 +1.3891855e+01 
-2.5974491e+01 -2.5745015e+01 -1.3652180e+01 -1.3333468e+01 -7.5566260e+00 -7.0639148e+00 -7.0027295e+00 -6.8758896e+00 -6.0427681e+00 -6.0418084e+00 -4.5863026e-01 -2.4680456e-01 +3.8615262e-01 +3.8894058e-01 +6.2086884e+00 +9.2508394e+00 +9.6993513e+00 +9.8569838e+00 +1.0874985e+01 +1.4029824e+01 
