# num high symmetry points
8
# label high symmetry points
G X M G R X M R 
# indices high symmetry points
1 23 45 76 114 145 146 168 
# nk, nb, ns
168 36 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +2.2727273e-02 +0.0000000e+00 
+0.0000000e+00 +4.5454545e-02 +0.0000000e+00 
+0.0000000e+00 +6.8181818e-02 +0.0000000e+00 
+0.0000000e+00 +9.0909091e-02 +0.0000000e+00 
+0.0000000e+00 +1.1363636e-01 +0.0000000e+00 
+0.0000000e+00 +1.3636364e-01 +0.0000000e+00 
+0.0000000e+00 +1.5909091e-01 +0.0000000e+00 
+0.0000000e+00 +1.8181818e-01 +0.0000000e+00 
+0.0000000e+00 +2.0454545e-01 +0.0000000e+00 
+0.0000000e+00 +2.2727273e-01 +0.0000000e+00 
+0.0000000e+00 +2.5000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.7272727e-01 +0.0000000e+00 
+0.0000000e+00 +2.9545455e-01 +0.0000000e+00 
+0.0000000e+00 +3.1818182e-01 +0.0000000e+00 
+0.0000000e+00 +3.4090909e-01 +0.0000000e+00 
+0.0000000e+00 +3.6363636e-01 +0.0000000e+00 
+0.0000000e+00 +3.8636364e-01 +0.0000000e+00 
+0.0000000e+00 +4.0909091e-01 +0.0000000e+00 
+0.0000000e+00 +4.3181818e-01 +0.0000000e+00 
+0.0000000e+00 +4.5454545e-01 +0.0000000e+00 
+0.0000000e+00 +4.7727273e-01 +0.0000000e+00 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
+2.2727273e-02 +5.0000000e-01 +0.0000000e+00 
+4.5454545e-02 +5.0000000e-01 +0.0000000e+00 
+6.8181818e-02 +5.0000000e-01 +0.0000000e+00 
+9.0909091e-02 +5.0000000e-01 +0.0000000e+00 
+1.1363636e-01 +5.0000000e-01 +0.0000000e+00 
+1.3636364e-01 +5.0000000e-01 +0.0000000e+00 
+1.5909091e-01 +5.0000000e-01 +0.0000000e+00 
+1.8181818e-01 +5.0000000e-01 +0.0000000e+00 
+2.0454545e-01 +5.0000000e-01 +0.0000000e+00 
+2.2727273e-01 +5.0000000e-01 +0.0000000e+00 
+2.5000000e-01 +5.0000000e-01 +0.0000000e+00 
+2.7272727e-01 +5.0000000e-01 +0.0000000e+00 
+2.9545455e-01 +5.0000000e-01 +0.0000000e+00 
+3.1818182e-01 +5.0000000e-01 +0.0000000e+00 
+3.4090909e-01 +5.0000000e-01 +0.0000000e+00 
+3.6363636e-01 +5.0000000e-01 +0.0000000e+00 
+3.8636364e-01 +5.0000000e-01 +0.0000000e+00 
+4.0909091e-01 +5.0000000e-01 +0.0000000e+00 
+4.3181818e-01 +5.0000000e-01 +0.0000000e+00 
+4.5454545e-01 +5.0000000e-01 +0.0000000e+00 
+4.7727273e-01 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+4.8387097e-01 +4.8387097e-01 +0.0000000e+00 
+4.6774194e-01 +4.6774194e-01 +0.0000000e+00 
+4.5161290e-01 +4.5161290e-01 +0.0000000e+00 
+4.3548387e-01 +4.3548387e-01 +0.0000000e+00 
+4.1935484e-01 +4.1935484e-01 +0.0000000e+00 
+4.0322581e-01 +4.0322581e-01 +0.0000000e+00 
+3.8709677e-01 +3.8709677e-01 +0.0000000e+00 
+3.7096774e-01 +3.7096774e-01 +0.0000000e+00 
+3.5483871e-01 +3.5483871e-01 +0.0000000e+00 
+3.3870968e-01 +3.3870968e-01 +0.0000000e+00 
+3.2258065e-01 +3.2258065e-01 +0.0000000e+00 
+3.0645161e-01 +3.0645161e-01 +0.0000000e+00 
+2.9032258e-01 +2.9032258e-01 +0.0000000e+00 
+2.7419355e-01 +2.7419355e-01 +0.0000000e+00 
+2.5806452e-01 +2.5806452e-01 +0.0000000e+00 
+2.4193548e-01 +2.4193548e-01 +0.0000000e+00 
+2.2580645e-01 +2.2580645e-01 +0.0000000e+00 
+2.0967742e-01 +2.0967742e-01 +0.0000000e+00 
+1.9354839e-01 +1.9354839e-01 +0.0000000e+00 
+1.7741935e-01 +1.7741935e-01 +0.0000000e+00 
+1.6129032e-01 +1.6129032e-01 +0.0000000e+00 
+1.4516129e-01 +1.4516129e-01 +0.0000000e+00 
+1.2903226e-01 +1.2903226e-01 +0.0000000e+00 
+1.1290323e-01 +1.1290323e-01 +0.0000000e+00 
+9.6774194e-02 +9.6774194e-02 +0.0000000e+00 
+8.0645161e-02 +8.0645161e-02 +0.0000000e+00 
+6.4516129e-02 +6.4516129e-02 +0.0000000e+00 
+4.8387097e-02 +4.8387097e-02 +0.0000000e+00 
+3.2258065e-02 +3.2258065e-02 +0.0000000e+00 
+1.6129032e-02 +1.6129032e-02 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+1.3157895e-02 +1.3157895e-02 +1.3157895e-02 
+2.6315789e-02 +2.6315789e-02 +2.6315789e-02 
+3.9473684e-02 +3.9473684e-02 +3.9473684e-02 
+5.2631579e-02 +5.2631579e-02 +5.2631579e-02 
+6.5789474e-02 +6.5789474e-02 +6.5789474e-02 
+7.8947368e-02 +7.8947368e-02 +7.8947368e-02 
+9.2105263e-02 +9.2105263e-02 +9.2105263e-02 
+1.0526316e-01 +1.0526316e-01 +1.0526316e-01 
+1.1842105e-01 +1.1842105e-01 +1.1842105e-01 
+1.3157895e-01 +1.3157895e-01 +1.3157895e-01 
+1.4473684e-01 +1.4473684e-01 +1.4473684e-01 
+1.5789474e-01 +1.5789474e-01 +1.5789474e-01 
+1.7105263e-01 +1.7105263e-01 +1.7105263e-01 
+1.8421053e-01 +1.8421053e-01 +1.8421053e-01 
+1.9736842e-01 +1.9736842e-01 +1.9736842e-01 
+2.1052632e-01 +2.1052632e-01 +2.1052632e-01 
+2.2368421e-01 +2.2368421e-01 +2.2368421e-01 
+2.3684211e-01 +2.3684211e-01 +2.3684211e-01 
+2.5000000e-01 +2.5000000e-01 +2.5000000e-01 
+2.6315789e-01 +2.6315789e-01 +2.6315789e-01 
+2.7631579e-01 +2.7631579e-01 +2.7631579e-01 
+2.8947368e-01 +2.8947368e-01 +2.8947368e-01 
+3.0263158e-01 +3.0263158e-01 +3.0263158e-01 
+3.1578947e-01 +3.1578947e-01 +3.1578947e-01 
+3.2894737e-01 +3.2894737e-01 +3.2894737e-01 
+3.4210526e-01 +3.4210526e-01 +3.4210526e-01 
+3.5526316e-01 +3.5526316e-01 +3.5526316e-01 
+3.6842105e-01 +3.6842105e-01 +3.6842105e-01 
+3.8157895e-01 +3.8157895e-01 +3.8157895e-01 
+3.9473684e-01 +3.9473684e-01 +3.9473684e-01 
+4.0789474e-01 +4.0789474e-01 +4.0789474e-01 
+4.2105263e-01 +4.2105263e-01 +4.2105263e-01 
+4.3421053e-01 +4.3421053e-01 +4.3421053e-01 
+4.4736842e-01 +4.4736842e-01 +4.4736842e-01 
+4.6052632e-01 +4.6052632e-01 +4.6052632e-01 
+4.7368421e-01 +4.7368421e-01 +4.7368421e-01 
