# num high symmetry points
12
# label high symmetry points
G X W K G L U W L K U X 
# indices high symmetry points
1 34 50 61 96 124 144 155 178 198 199 210 
# nk, nb, ns
210 18 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+1.5151515e-02 +1.5130808e-18 +1.5151515e-02 
+3.0303030e-02 +3.0261616e-18 +3.0303030e-02 
+4.5454545e-02 +4.5392424e-18 +4.5454545e-02 
+6.0606061e-02 +6.0523232e-18 +6.0606061e-02 
+7.5757576e-02 +7.5654040e-18 +7.5757576e-02 
+9.0909091e-02 +9.0784848e-18 +9.0909091e-02 
+1.0606061e-01 +1.0591566e-17 +1.0606061e-01 
+1.2121212e-01 +1.2104646e-17 +1.2121212e-01 
+1.3636364e-01 +1.3617727e-17 +1.3636364e-01 
+1.5151515e-01 +1.5130808e-17 +1.5151515e-01 
+1.6666667e-01 +1.6643889e-17 +1.6666667e-01 
+1.8181818e-01 +1.8156970e-17 +1.8181818e-01 
+1.9696970e-01 +1.9670050e-17 +1.9696970e-01 
+2.1212121e-01 +2.1183131e-17 +2.1212121e-01 
+2.2727273e-01 +2.2696212e-17 +2.2727273e-01 
+2.4242424e-01 +2.4209293e-17 +2.4242424e-01 
+2.5757576e-01 +2.5722374e-17 +2.5757576e-01 
+2.7272727e-01 +2.7235454e-17 +2.7272727e-01 
+2.8787879e-01 +2.8748535e-17 +2.8787879e-01 
+3.0303030e-01 +3.0261616e-17 +3.0303030e-01 
+3.1818182e-01 +3.1774697e-17 +3.1818182e-01 
+3.3333333e-01 +3.3287778e-17 +3.3333333e-01 
+3.4848485e-01 +3.4800858e-17 +3.4848485e-01 
+3.6363636e-01 +3.6313939e-17 +3.6363636e-01 
+3.7878788e-01 +3.7827020e-17 +3.7878788e-01 
+3.9393939e-01 +3.9340101e-17 +3.9393939e-01 
+4.0909091e-01 +4.0853181e-17 +4.0909091e-01 
+4.2424242e-01 +4.2366262e-17 +4.2424242e-01 
+4.3939394e-01 +4.3879343e-17 +4.3939394e-01 
+4.5454545e-01 +4.5392424e-17 +4.5454545e-01 
+4.6969697e-01 +4.6905505e-17 +4.6969697e-01 
+4.8484848e-01 +4.8418585e-17 +4.8484848e-01 
+5.0000000e-01 +4.9931666e-17 +5.0000000e-01 
+5.0000000e-01 +1.5625000e-02 +5.1562500e-01 
+5.0000000e-01 +3.1250000e-02 +5.3125000e-01 
+5.0000000e-01 +4.6875000e-02 +5.4687500e-01 
+5.0000000e-01 +6.2500000e-02 +5.6250000e-01 
+5.0000000e-01 +7.8125000e-02 +5.7812500e-01 
+5.0000000e-01 +9.3750000e-02 +5.9375000e-01 
+5.0000000e-01 +1.0937500e-01 +6.0937500e-01 
+5.0000000e-01 +1.2500000e-01 +6.2500000e-01 
+5.0000000e-01 +1.4062500e-01 +6.4062500e-01 
